Category: All categories

Day,Valium: (United States)
2019-09-12,53
2019-09-13,57
2019-09-14,44
2019-09-15,56
2019-09-16,50
2019-09-17,42
2019-09-18,39
2019-09-19,59
2019-09-20,61
2019-09-21,49
2019-09-22,34
2019-09-23,47
2019-09-24,58
2019-09-25,38
2019-09-26,48
2019-09-27,65
2019-09-28,51
2019-09-29,56
2019-09-30,38
2019-10-01,24
2019-10-02,67
2019-10-03,70
2019-10-04,31
2019-10-05,58
2019-10-06,54
2019-10-07,54
2019-10-08,49
2019-10-09,71
2019-10-10,54
2019-10-11,55
2019-10-12,49
2019-10-13,54
2019-10-14,62
2019-10-15,66
2019-10-16,58
2019-10-17,63
2019-10-18,55
2019-10-19,46
2019-10-20,44
2019-10-21,63
2019-10-22,57
2019-10-23,46
2019-10-24,70
2019-10-25,45
2019-10-26,54
2019-10-27,41
2019-10-28,52
2019-10-29,48
2019-10-30,49
2019-10-31,61
2019-11-01,55
2019-11-02,25
2019-11-03,38
2019-11-04,42
2019-11-05,51
2019-11-06,44
2019-11-07,58
2019-11-08,38
2019-11-09,53
2019-11-10,53
2019-11-11,66
2019-11-12,52
2019-11-13,56
2019-11-14,46
2019-11-15,56
2019-11-16,36
2019-11-17,51
2019-11-18,55
2019-11-19,44
2019-11-20,59
2019-11-21,54
2019-11-22,55
2019-11-23,50
2019-11-24,58
2019-11-25,56
2019-11-26,43
2019-11-27,55
2019-11-28,44
2019-11-29,42
2019-11-30,35
2019-12-01,23
2019-12-02,37
2019-12-03,64
2019-12-04,48
2019-12-05,44
2019-12-06,52
2019-12-07,32
2019-12-08,41
2019-12-09,38
2019-12-10,81
2019-12-11,68
2019-12-12,51
2019-12-13,44
2019-12-14,34
2019-12-15,26
2019-12-16,53
2019-12-17,44
2019-12-18,57
2019-12-19,57
2019-12-20,50
2019-12-21,44
2019-12-22,61
2019-12-23,36
2019-12-24,55
2019-12-25,42
2019-12-26,39
2019-12-27,47
2019-12-28,41
2019-12-29,54
2019-12-30,80
2019-12-31,56
2020-01-01,50
2020-01-02,32
2020-01-03,51
2020-01-04,71
2020-01-05,42
2020-01-06,37
2020-01-07,63
2020-01-08,62
2020-01-09,34
2020-01-10,66
2020-01-11,33
2020-01-12,36
2020-01-13,48
2020-01-14,44
2020-01-15,64
2020-01-16,70
2020-01-17,67
2020-01-18,62
2020-01-19,53
2020-01-20,56
2020-01-21,62
2020-01-22,73
2020-01-23,62
2020-01-24,45
2020-01-25,52
2020-01-26,57
2020-01-27,57
2020-01-28,58
2020-01-29,37
2020-01-30,58
2020-01-31,50
2020-02-01,41
2020-02-02,35
2020-02-03,46
2020-02-04,61
2020-02-05,45
2020-02-06,61
2020-02-07,48
2020-02-08,52
2020-02-09,45
2020-02-10,45
2020-02-11,48
2020-02-12,62
2020-02-13,73
2020-02-14,57
2020-02-15,33
2020-02-16,29
2020-02-17,56
2020-02-18,54
2020-02-19,68
2020-02-20,55
2020-02-21,54
2020-02-22,45
2020-02-23,55
2020-02-24,54
2020-02-25,40
2020-02-26,45
2020-02-27,70
2020-02-28,45
2020-02-29,52
2020-03-01,43
2020-03-02,60
2020-03-03,48
2020-03-04,45
2020-03-05,54
2020-03-06,60
2020-03-07,100
2020-03-08,47
2020-03-09,62
2020-03-10,64
2020-03-11,52
2020-03-12,43
2020-03-13,50
2020-03-14,37
2020-03-15,46
2020-03-16,47
2020-03-17,56
2020-03-18,58
2020-03-19,38
2020-03-20,46
2020-03-21,49
2020-03-22,28
2020-03-23,42
2020-03-24,45
2020-03-25,59
2020-03-26,40
2020-03-27,48
2020-03-28,48
2020-03-29,45
2020-03-30,55
2020-03-31,46
2020-04-01,49
2020-04-02,38
2020-04-03,39
2020-04-04,37
2020-04-05,50
2020-04-06,44
2020-04-07,32
2020-04-08,42
2020-04-09,44
2020-04-10,45
2020-04-11,72
2020-04-12,38
2020-04-13,45
2020-04-14,54
2020-04-15,31
2020-04-16,43
2020-04-17,29
2020-04-18,38
2020-04-19,37
2020-04-20,45
2020-04-21,36
2020-04-22,48
2020-04-23,59
2020-04-24,36
2020-04-25,35
2020-04-26,56
2020-04-27,41
2020-04-28,41
2020-04-29,56
2020-04-30,32
2020-05-01,46
2020-05-02,39
2020-05-03,33
2020-05-04,39
2020-05-05,40
2020-05-06,53
2020-05-07,68
2020-05-08,53
