Category: All categories

Day,Xanax: (United States)
2019-09-12,61
2019-09-13,54
2019-09-14,66
2019-09-15,57
2019-09-16,54
2019-09-17,61
2019-09-18,56
2019-09-19,67
2019-09-20,66
2019-09-21,68
2019-09-22,66
2019-09-23,58
2019-09-24,59
2019-09-25,73
2019-09-26,60
2019-09-27,73
2019-09-28,72
2019-09-29,71
2019-09-30,50
2019-10-01,55
2019-10-02,59
2019-10-03,62
2019-10-04,55
2019-10-05,57
2019-10-06,66
2019-10-07,67
2019-10-08,68
2019-10-09,60
2019-10-10,64
2019-10-11,66
2019-10-12,60
2019-10-13,69
2019-10-14,57
2019-10-15,50
2019-10-16,63
2019-10-17,80
2019-10-18,67
2019-10-19,57
2019-10-20,60
2019-10-21,54
2019-10-22,62
2019-10-23,65
2019-10-24,60
2019-10-25,61
2019-10-26,57
2019-10-27,57
2019-10-28,57
2019-10-29,100
2019-10-30,76
2019-10-31,56
2019-11-01,64
2019-11-02,60
2019-11-03,59
2019-11-04,65
2019-11-05,63
2019-11-06,67
2019-11-07,69
2019-11-08,58
2019-11-09,71
2019-11-10,51
2019-11-11,66
2019-11-12,64
2019-11-13,58
2019-11-14,64
2019-11-15,68
2019-11-16,57
2019-11-17,64
2019-11-18,69
2019-11-19,56
2019-11-20,64
2019-11-21,64
2019-11-22,70
2019-11-23,67
2019-11-24,53
2019-11-25,64
2019-11-26,57
2019-11-27,63
2019-11-28,56
2019-11-29,53
2019-11-30,53
2019-12-01,53
2019-12-02,56
2019-12-03,62
2019-12-04,59
2019-12-05,60
2019-12-06,73
2019-12-07,66
2019-12-08,65
2019-12-09,55
2019-12-10,58
2019-12-11,58
2019-12-12,73
2019-12-13,63
2019-12-14,67
2019-12-15,55
2019-12-16,59
2019-12-17,63
2019-12-18,64
2019-12-19,58
2019-12-20,62
2019-12-21,53
2019-12-22,55
2019-12-23,67
2019-12-24,52
2019-12-25,60
2019-12-26,63
2019-12-27,62
2019-12-28,72
2019-12-29,68
2019-12-30,83
2019-12-31,60
2020-01-01,64
2020-01-02,59
2020-01-03,54
2020-01-04,49
2020-01-05,70
2020-01-06,60
2020-01-07,62
2020-01-08,55
2020-01-09,61
2020-01-10,67
2020-01-11,60
2020-01-12,58
2020-01-13,54
2020-01-14,53
2020-01-15,61
2020-01-16,68
2020-01-17,65
2020-01-18,60
2020-01-19,65
2020-01-20,64
2020-01-21,79
2020-01-22,66
2020-01-23,64
2020-01-24,62
2020-01-25,64
2020-01-26,63
2020-01-27,51
2020-01-28,57
2020-01-29,61
2020-01-30,70
2020-01-31,51
2020-02-01,66
2020-02-02,59
2020-02-03,60
2020-02-04,63
2020-02-05,59
2020-02-06,61
2020-02-07,68
2020-02-08,70
2020-02-09,75
2020-02-10,61
2020-02-11,66
2020-02-12,64
2020-02-13,64
2020-02-14,64
2020-02-15,61
2020-02-16,66
2020-02-17,72
2020-02-18,59
2020-02-19,66
2020-02-20,55
2020-02-21,58
2020-02-22,63
2020-02-23,57
2020-02-24,61
2020-02-25,70
2020-02-26,59
2020-02-27,68
2020-02-28,64
2020-02-29,54
2020-03-01,55
2020-03-02,51
2020-03-03,65
2020-03-04,62
2020-03-05,62
2020-03-06,63
2020-03-07,68
2020-03-08,59
2020-03-09,59
2020-03-10,55
2020-03-11,56
2020-03-12,59
2020-03-13,52
2020-03-14,58
2020-03-15,55
2020-03-16,51
2020-03-17,49
2020-03-18,58
2020-03-19,52
2020-03-20,63
2020-03-21,68
2020-03-22,59
2020-03-23,54
2020-03-24,56
2020-03-25,58
2020-03-26,70
2020-03-27,63
2020-03-28,68
2020-03-29,63
2020-03-30,52
2020-03-31,66
2020-04-01,50
2020-04-02,64
2020-04-03,57
2020-04-04,65
2020-04-05,50
2020-04-06,66
2020-04-07,62
2020-04-08,56
2020-04-09,59
2020-04-10,69
2020-04-11,59
2020-04-12,45
2020-04-13,54
2020-04-14,58
2020-04-15,52
2020-04-16,51
2020-04-17,59
2020-04-18,53
2020-04-19,61
2020-04-20,58
2020-04-21,58
2020-04-22,56
2020-04-23,47
2020-04-24,56
2020-04-25,54
2020-04-26,52
2020-04-27,52
2020-04-28,57
2020-04-29,56
2020-04-30,58
2020-05-01,68
2020-05-02,59
2020-05-03,54
2020-05-04,57
2020-05-05,61
2020-05-06,58
2020-05-07,53
2020-05-08,60
