Category: All categories

Day,Lexapro: (United States)
2019-09-12,84
2019-09-13,71
2019-09-14,66
2019-09-15,56
2019-09-16,65
2019-09-17,100
2019-09-18,85
2019-09-19,82
2019-09-20,77
2019-09-21,62
2019-09-22,62
2019-09-23,69
2019-09-24,83
2019-09-25,90
2019-09-26,84
2019-09-27,76
2019-09-28,66
2019-09-29,54
2019-09-30,90
2019-10-01,81
2019-10-02,88
2019-10-03,75
2019-10-04,70
2019-10-05,65
2019-10-06,72
2019-10-07,85
2019-10-08,86
2019-10-09,77
2019-10-10,86
2019-10-11,68
2019-10-12,65
2019-10-13,52
2019-10-14,70
2019-10-15,78
2019-10-16,83
2019-10-17,83
2019-10-18,89
2019-10-19,58
2019-10-20,66
2019-10-21,78
2019-10-22,85
2019-10-23,82
2019-10-24,100
2019-10-25,82
2019-10-26,57
2019-10-27,69
2019-10-28,86
2019-10-29,96
2019-10-30,74
2019-10-31,81
2019-11-01,72
2019-11-02,63
2019-11-03,61
2019-11-04,82
2019-11-05,88
2019-11-06,88
2019-11-07,90
2019-11-08,92
2019-11-09,68
2019-11-10,60
2019-11-11,77
2019-11-12,78
2019-11-13,68
2019-11-14,77
2019-11-15,68
2019-11-16,67
2019-11-17,62
2019-11-18,78
2019-11-19,77
2019-11-20,87
2019-11-21,90
2019-11-22,75
2019-11-23,65
2019-11-24,54
2019-11-25,90
2019-11-26,92
2019-11-27,62
2019-11-28,55
2019-11-29,61
2019-11-30,45
2019-12-01,64
2019-12-02,73
2019-12-03,76
2019-12-04,67
2019-12-05,75
2019-12-06,74
2019-12-07,73
2019-12-08,60
2019-12-09,67
2019-12-10,75
2019-12-11,67
2019-12-12,76
2019-12-13,70
2019-12-14,54
2019-12-15,59
2019-12-16,70
2019-12-17,69
2019-12-18,88
2019-12-19,79
2019-12-20,75
2019-12-21,71
2019-12-22,67
2019-12-23,76
2019-12-24,68
2019-12-25,57
2019-12-26,63
2019-12-27,74
2019-12-28,61
2019-12-29,63
2019-12-30,66
2019-12-31,76
2020-01-01,54
2020-01-02,78
2020-01-03,72
2020-01-04,66
2020-01-05,60
2020-01-06,73
2020-01-07,72
2020-01-08,85
2020-01-09,84
2020-01-10,66
2020-01-11,75
2020-01-12,64
2020-01-13,63
2020-01-14,83
2020-01-15,79
2020-01-16,81
2020-01-17,82
2020-01-18,84
2020-01-19,65
2020-01-20,86
2020-01-21,85
2020-01-22,99
2020-01-23,80
2020-01-24,74
2020-01-25,73
2020-01-26,62
2020-01-27,85
2020-01-28,98
2020-01-29,82
2020-01-30,87
2020-01-31,90
2020-02-01,62
2020-02-02,63
2020-02-03,64
2020-02-04,91
2020-02-05,94
2020-02-06,83
2020-02-07,80
2020-02-08,72
2020-02-09,70
2020-02-10,81
2020-02-11,98
2020-02-12,83
2020-02-13,90
2020-02-14,70
2020-02-15,56
2020-02-16,60
2020-02-17,82
2020-02-18,89
2020-02-19,91
2020-02-20,83
2020-02-21,78
2020-02-22,60
2020-02-23,58
2020-02-24,91
2020-02-25,96
2020-02-26,86
2020-02-27,96
2020-02-28,95
2020-02-29,52
2020-03-01,72
2020-03-02,85
2020-03-03,79
2020-03-04,74
2020-03-05,84
2020-03-06,73
2020-03-07,79
2020-03-08,67
2020-03-09,77
2020-03-10,80
2020-03-11,87
2020-03-12,75
2020-03-13,64
2020-03-14,51
2020-03-15,51
2020-03-16,56
2020-03-17,64
2020-03-18,63
2020-03-19,61
2020-03-20,61
2020-03-21,48
2020-03-22,52
2020-03-23,56
2020-03-24,64
2020-03-25,54
2020-03-26,57
2020-03-27,55
2020-03-28,54
2020-03-29,39
2020-03-30,60
2020-03-31,53
2020-04-01,52
2020-04-02,56
2020-04-03,54
2020-04-04,48
2020-04-05,48
2020-04-06,60
2020-04-07,60
2020-04-08,53
2020-04-09,58
2020-04-10,65
2020-04-11,44
2020-04-12,50
2020-04-13,68
2020-04-14,58
2020-04-15,60
2020-04-16,63
2020-04-17,47
2020-04-18,61
2020-04-19,41
2020-04-20,75
2020-04-21,74
2020-04-22,69
2020-04-23,55
2020-04-24,56
2020-04-25,51
2020-04-26,44
2020-04-27,65
2020-04-28,62
2020-04-29,67
2020-04-30,67
2020-05-01,61
2020-05-02,58
2020-05-03,50
2020-05-04,63
2020-05-05,64
2020-05-06,61
2020-05-07,68
2020-05-08,58
