Category: All categories

Day,Klonopin: (United States)
2019-09-12,71
2019-09-13,77
2019-09-14,68
2019-09-15,70
2019-09-16,55
2019-09-17,70
2019-09-18,62
2019-09-19,78
2019-09-20,69
2019-09-21,100
2019-09-22,78
2019-09-23,89
2019-09-24,67
2019-09-25,81
2019-09-26,90
2019-09-27,67
2019-09-28,51
2019-09-29,61
2019-09-30,81
2019-10-01,81
2019-10-02,81
2019-10-03,76
2019-10-04,75
2019-10-05,72
2019-10-06,61
2019-10-07,94
2019-10-08,65
2019-10-09,84
2019-10-10,70
2019-10-11,61
2019-10-12,83
2019-10-13,81
2019-10-14,81
2019-10-15,75
2019-10-16,81
2019-10-17,81
2019-10-18,71
2019-10-19,67
2019-10-20,54
2019-10-21,79
2019-10-22,78
2019-10-23,61
2019-10-24,73
2019-10-25,61
2019-10-26,50
2019-10-27,48
2019-10-28,76
2019-10-29,76
2019-10-30,63
2019-10-31,60
2019-11-01,64
2019-11-02,63
2019-11-03,51
2019-11-04,65
2019-11-05,74
2019-11-06,61
2019-11-07,69
2019-11-08,78
2019-11-09,63
2019-11-10,63
2019-11-11,74
2019-11-12,75
2019-11-13,75
2019-11-14,61
2019-11-15,67
2019-11-16,54
2019-11-17,76
2019-11-18,80
2019-11-19,60
2019-11-20,78
2019-11-21,47
2019-11-22,79
2019-11-23,47
2019-11-24,59
2019-11-25,64
2019-11-26,74
2019-11-27,78
2019-11-28,58
2019-11-29,61
2019-11-30,51
2019-12-01,49
2019-12-02,62
2019-12-03,64
2019-12-04,70
2019-12-05,64
2019-12-06,55
2019-12-07,66
2019-12-08,61
2019-12-09,60
2019-12-10,64
2019-12-11,66
2019-12-12,66
2019-12-13,68
2019-12-14,64
2019-12-15,67
2019-12-16,65
2019-12-17,78
2019-12-18,78
2019-12-19,82
2019-12-20,65
2019-12-21,72
2019-12-22,60
2019-12-23,55
2019-12-24,68
2019-12-25,50
2019-12-26,47
2019-12-27,56
2019-12-28,66
2019-12-29,60
2019-12-30,57
2019-12-31,58
2020-01-01,58
2020-01-02,73
2020-01-03,69
2020-01-04,62
2020-01-05,51
2020-01-06,69
2020-01-07,64
2020-01-08,59
2020-01-09,74
2020-01-10,77
2020-01-11,69
2020-01-12,57
2020-01-13,63
2020-01-14,61
2020-01-15,69
2020-01-16,77
2020-01-17,79
2020-01-18,83
2020-01-19,64
2020-01-20,63
2020-01-21,77
2020-01-22,71
2020-01-23,63
2020-01-24,77
2020-01-25,53
2020-01-26,46
2020-01-27,62
2020-01-28,53
2020-01-29,81
2020-01-30,71
2020-01-31,79
2020-02-01,57
2020-02-02,49
2020-02-03,67
2020-02-04,63
2020-02-05,70
2020-02-06,72
2020-02-07,74
2020-02-08,43
2020-02-09,59
2020-02-10,60
2020-02-11,78
2020-02-12,59
2020-02-13,85
2020-02-14,78
2020-02-15,48
2020-02-16,78
2020-02-17,66
2020-02-18,68
2020-02-19,81
2020-02-20,79
2020-02-21,56
2020-02-22,61
2020-02-23,42
2020-02-24,55
2020-02-25,68
2020-02-26,86
2020-02-27,67
2020-02-28,68
2020-02-29,51
2020-03-01,70
2020-03-02,65
2020-03-03,69
2020-03-04,59
2020-03-05,63
2020-03-06,64
2020-03-07,67
2020-03-08,42
2020-03-09,72
2020-03-10,66
2020-03-11,59
2020-03-12,48
2020-03-13,46
2020-03-14,47
2020-03-15,43
2020-03-16,50
2020-03-17,55
2020-03-18,48
2020-03-19,62
2020-03-20,63
2020-03-21,49
2020-03-22,51
2020-03-23,54
2020-03-24,54
2020-03-25,49
2020-03-26,67
2020-03-27,49
2020-03-28,61
2020-03-29,56
2020-03-30,78
2020-03-31,71
2020-04-01,63
2020-04-02,54
2020-04-03,65
2020-04-04,64
2020-04-05,56
2020-04-06,60
2020-04-07,62
2020-04-08,54
2020-04-09,66
2020-04-10,74
2020-04-11,65
2020-04-12,49
2020-04-13,59
2020-04-14,54
2020-04-15,72
2020-04-16,49
2020-04-17,59
2020-04-18,55
2020-04-19,48
2020-04-20,53
2020-04-21,45
2020-04-22,68
2020-04-23,66
2020-04-24,57
2020-04-25,70
2020-04-26,44
2020-04-27,66
2020-04-28,54
2020-04-29,48
2020-04-30,48
2020-05-01,64
2020-05-02,60
2020-05-03,56
2020-05-04,52
2020-05-05,60
2020-05-06,49
2020-05-07,56
2020-05-08,38
