crypto movie,isPartial,date
15,False,2019-08-11
9,False,2019-08-18
17,False,2019-08-25
20,False,2019-09-01
18,False,2019-09-08
81,False,2019-09-15
100,False,2019-09-22
47,False,2019-09-29
29,False,2019-10-06
18,False,2019-10-13
17,False,2019-10-20
16,False,2019-10-27
14,False,2019-11-03
10,False,2019-11-10
7,False,2019-11-17
16,False,2019-11-24
11,False,2019-12-01
10,False,2019-12-08
15,False,2019-12-15
21,False,2019-12-22
22,False,2019-12-29
16,False,2020-01-05
16,False,2020-01-12
24,False,2020-01-19
15,False,2020-01-26
19,False,2020-02-02
21,False,2020-02-09
13,False,2020-02-16
14,False,2020-02-23
12,False,2020-03-01
19,False,2020-03-08
17,False,2020-03-15
14,False,2020-03-22
22,False,2020-03-29
44,False,2020-04-05
17,False,2020-04-12
16,False,2020-04-19
24,False,2020-04-26
23,False,2020-05-03
29,False,2020-05-10
21,False,2020-05-17
25,False,2020-05-24
22,False,2020-05-31
21,False,2020-06-07
17,False,2020-06-14
16,False,2020-06-21
27,False,2020-06-28
16,False,2020-07-05
14,False,2020-07-12
10,False,2020-07-19
16,False,2020-07-26
51,True,2020-08-02
