apex crypto,isPartial,date
8,False,2019-08-11
5,False,2019-08-18
12,False,2019-08-25
5,False,2019-09-01
11,False,2019-09-08
44,False,2019-09-15
39,False,2019-09-22
100,False,2019-09-29
36,False,2019-10-06
20,False,2019-10-13
12,False,2019-10-20
8,False,2019-10-27
8,False,2019-11-03
8,False,2019-11-10
6,False,2019-11-17
8,False,2019-11-24
7,False,2019-12-01
7,False,2019-12-08
6,False,2019-12-15
6,False,2019-12-22
7,False,2019-12-29
5,False,2020-01-05
7,False,2020-01-12
8,False,2020-01-19
10,False,2020-01-26
11,False,2020-02-02
15,False,2020-02-09
12,False,2020-02-16
14,False,2020-02-23
14,False,2020-03-01
8,False,2020-03-08
10,False,2020-03-15
9,False,2020-03-22
6,False,2020-03-29
9,False,2020-04-05
7,False,2020-04-12
5,False,2020-04-19
7,False,2020-04-26
5,False,2020-05-03
11,False,2020-05-10
10,False,2020-05-17
11,False,2020-05-24
9,False,2020-05-31
8,False,2020-06-07
16,False,2020-06-14
12,False,2020-06-21
9,False,2020-06-28
10,False,2020-07-05
6,False,2020-07-12
9,False,2020-07-19
7,False,2020-07-26
8,True,2020-08-02
