crypto 2019,isPartial,date
70,False,2019-05-26
63,False,2019-06-02
74,False,2019-06-09
89,False,2019-06-16
82,False,2019-06-23
100,False,2019-06-30
90,False,2019-07-07
64,False,2019-07-14
50,False,2019-07-21
33,False,2019-07-28
33,False,2019-08-04
43,False,2019-08-11
67,False,2019-08-18
34,False,2019-08-25
39,False,2019-09-01
29,False,2019-09-08
40,False,2019-09-15
49,False,2019-09-22
33,False,2019-09-29
33,False,2019-10-06
20,False,2019-10-13
35,False,2019-10-20
33,False,2019-10-27
40,False,2019-11-03
27,False,2019-11-10
25,False,2019-11-17
32,False,2019-11-24
23,False,2019-12-01
27,False,2019-12-08
35,False,2019-12-15
23,False,2019-12-22
33,False,2019-12-29
14,False,2020-01-05
10,False,2020-01-12
20,False,2020-01-19
10,False,2020-01-26
15,False,2020-02-02
16,False,2020-02-09
14,False,2020-02-16
15,False,2020-02-23
13,False,2020-03-01
10,False,2020-03-08
16,False,2020-03-15
12,False,2020-03-22
8,False,2020-03-29
9,False,2020-04-05
9,False,2020-04-12
12,False,2020-04-19
8,False,2020-04-26
9,False,2020-05-03
7,False,2020-05-10
9,True,2020-05-17
