crypto apex,isPartial,date
0,False,2019-05-26
1,False,2019-06-02
2,False,2019-06-09
7,False,2019-06-16
14,False,2019-06-23
11,False,2019-06-30
3,False,2019-07-07
2,False,2019-07-14
3,False,2019-07-21
4,False,2019-07-28
10,False,2019-08-04
5,False,2019-08-11
4,False,2019-08-18
11,False,2019-08-25
6,False,2019-09-01
13,False,2019-09-08
45,False,2019-09-15
40,False,2019-09-22
100,False,2019-09-29
34,False,2019-10-06
22,False,2019-10-13
14,False,2019-10-20
11,False,2019-10-27
9,False,2019-11-03
9,False,2019-11-10
7,False,2019-11-17
6,False,2019-11-24
9,False,2019-12-01
7,False,2019-12-08
6,False,2019-12-15
6,False,2019-12-22
6,False,2019-12-29
8,False,2020-01-05
7,False,2020-01-12
9,False,2020-01-19
10,False,2020-01-26
14,False,2020-02-02
14,False,2020-02-09
10,False,2020-02-16
10,False,2020-02-23
10,False,2020-03-01
7,False,2020-03-08
9,False,2020-03-15
10,False,2020-03-22
8,False,2020-03-29
9,False,2020-04-05
9,False,2020-04-12
6,False,2020-04-19
7,False,2020-04-26
7,False,2020-05-03
11,False,2020-05-10
11,True,2020-05-17
