feeling helpless,isPartial,date
27,False,2019-01-06
54,False,2019-01-13
27,False,2019-01-20
27,False,2019-01-27
39,False,2019-02-03
53,False,2019-02-10
27,False,2019-02-17
39,False,2019-02-24
27,False,2019-03-03
0,False,2019-03-10
28,False,2019-03-17
41,False,2019-03-24
55,False,2019-03-31
27,False,2019-04-07
28,False,2019-04-14
56,False,2019-04-21
55,False,2019-04-28
55,False,2019-05-05
57,False,2019-05-12
86,False,2019-05-19
87,False,2019-05-26
28,False,2019-06-02
28,False,2019-06-09
0,False,2019-06-16
58,False,2019-06-23
59,False,2019-06-30
28,False,2019-07-07
43,False,2019-07-14
29,False,2019-07-21
0,False,2019-07-28
29,False,2019-08-04
56,False,2019-08-11
28,False,2019-08-18
54,False,2019-08-25
52,False,2019-09-01
64,False,2019-09-08
63,False,2019-09-15
52,False,2019-09-22
26,False,2019-09-29
26,False,2019-10-06
52,False,2019-10-13
63,False,2019-10-20
0,False,2019-10-27
51,False,2019-11-03
100,False,2019-11-10
38,False,2019-11-17
53,False,2019-11-24
25,False,2019-12-01
51,False,2019-12-08
26,False,2019-12-15
58,False,2019-12-22
54,False,2019-12-29
25,False,2020-01-05
48,False,2020-01-12
50,False,2020-01-19
48,False,2020-01-26
24,False,2020-02-02
49,False,2020-02-09
36,False,2020-02-16
35,False,2020-02-23
47,False,2020-03-01
23,False,2020-03-08
69,False,2020-03-15
33,False,2020-03-22
33,False,2020-03-29
22,False,2020-04-05
43,False,2020-04-12
43,False,2020-04-19
32,False,2020-04-26
32,False,2020-05-03
33,False,2020-05-10
45,False,2020-05-17
34,False,2020-05-24
77,False,2020-05-31
79,False,2020-06-07
47,False,2020-06-14
47,False,2020-06-21
36,False,2020-06-28
24,False,2020-07-05
48,False,2020-07-12
49,False,2020-07-19
49,False,2020-07-26
0,False,2020-08-02
24,False,2020-08-09
24,False,2020-08-16
23,False,2020-08-23
45,False,2020-08-30
