suicidal ideation,isPartial,date
81,False,2019-01-06
59,False,2019-01-13
71,False,2019-01-20
81,False,2019-01-27
65,False,2019-02-03
93,False,2019-02-10
56,False,2019-02-17
72,False,2019-02-24
98,False,2019-03-03
54,False,2019-03-10
46,False,2019-03-17
76,False,2019-03-24
65,False,2019-03-31
100,False,2019-04-07
52,False,2019-04-14
94,False,2019-04-21
61,False,2019-04-28
79,False,2019-05-05
60,False,2019-05-12
66,False,2019-05-19
55,False,2019-05-26
68,False,2019-06-02
61,False,2019-06-09
45,False,2019-06-16
87,False,2019-06-23
56,False,2019-06-30
47,False,2019-07-07
49,False,2019-07-14
80,False,2019-07-21
41,False,2019-07-28
74,False,2019-08-04
61,False,2019-08-11
67,False,2019-08-18
56,False,2019-08-25
84,False,2019-09-01
97,False,2019-09-08
78,False,2019-09-15
92,False,2019-09-22
64,False,2019-09-29
74,False,2019-10-06
83,False,2019-10-13
77,False,2019-10-20
89,False,2019-10-27
74,False,2019-11-03
72,False,2019-11-10
92,False,2019-11-17
75,False,2019-11-24
65,False,2019-12-01
91,False,2019-12-08
51,False,2019-12-15
35,False,2019-12-22
48,False,2019-12-29
60,False,2020-01-05
70,False,2020-01-12
62,False,2020-01-19
63,False,2020-01-26
77,False,2020-02-02
76,False,2020-02-09
62,False,2020-02-16
75,False,2020-02-23
51,False,2020-03-01
64,False,2020-03-08
51,False,2020-03-15
61,False,2020-03-22
58,False,2020-03-29
65,False,2020-04-05
51,False,2020-04-12
53,False,2020-04-19
63,False,2020-04-26
48,False,2020-05-03
67,False,2020-05-10
52,False,2020-05-17
73,False,2020-05-24
59,False,2020-05-31
66,False,2020-06-07
70,False,2020-06-14
48,False,2020-06-21
69,False,2020-06-28
69,False,2020-07-05
77,False,2020-07-12
69,False,2020-07-19
77,False,2020-07-26
75,False,2020-08-02
77,False,2020-08-09
69,False,2020-08-16
51,False,2020-08-23
74,False,2020-08-30
