how to kill yourself with no pain,isPartial,date
51,False,2019-09-01
51,False,2019-09-08
0,False,2019-09-15
0,False,2019-09-22
77,False,2019-09-29
51,False,2019-10-06
0,False,2019-10-13
0,False,2019-10-20
100,False,2019-10-27
50,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
52,False,2019-11-24
49,False,2019-12-01
50,False,2019-12-08
51,False,2019-12-15
0,False,2019-12-22
53,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
49,False,2020-01-19
0,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
47,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
45,False,2020-03-15
0,False,2020-03-22
43,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
42,False,2020-04-19
0,False,2020-04-26
63,False,2020-05-03
0,False,2020-05-10
44,False,2020-05-17
0,False,2020-05-24
43,False,2020-05-31
44,False,2020-06-07
0,False,2020-06-14
46,False,2020-06-21
95,False,2020-06-28
47,False,2020-07-05
0,False,2020-07-12
48,False,2020-07-19
0,False,2020-07-26
47,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
45,False,2020-08-23
