how to kill yourself -dayz -ark -rust,isPartial,date
44,False,2019-09-22
0,False,2019-09-29
44,False,2019-10-06
45,False,2019-10-13
43,False,2019-10-20
43,False,2019-10-27
43,False,2019-11-03
42,False,2019-11-10
0,False,2019-11-17
46,False,2019-11-24
0,False,2019-12-01
43,False,2019-12-08
44,False,2019-12-15
100,False,2019-12-22
92,False,2019-12-29
85,False,2020-01-05
40,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
41,False,2020-02-02
82,False,2020-02-09
41,False,2020-02-16
0,False,2020-02-23
40,False,2020-03-01
0,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
37,False,2020-03-29
37,False,2020-04-05
35,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
37,False,2020-05-03
37,False,2020-05-10
58,False,2020-05-17
40,False,2020-05-24
40,False,2020-05-31
0,False,2020-06-07
41,False,2020-06-14
42,False,2020-06-21
86,False,2020-06-28
41,False,2020-07-05
42,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
44,False,2020-08-09
44,False,2020-08-16
42,False,2020-08-23
0,False,2020-08-30
41,False,2020-09-06
0,True,2020-09-13
