ways to kill yourself,isPartial,date
0,False,2019-09-22
55,False,2019-09-29
56,False,2019-10-06
55,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
54,False,2019-11-03
0,False,2019-11-10
52,False,2019-11-17
53,False,2019-11-24
0,False,2019-12-01
53,False,2019-12-08
0,False,2019-12-15
59,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
48,False,2020-01-12
51,False,2020-01-19
51,False,2020-01-26
50,False,2020-02-02
0,False,2020-02-09
0,False,2020-02-16
49,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
0,False,2020-03-15
46,False,2020-03-22
0,False,2020-03-29
93,False,2020-04-05
46,False,2020-04-12
88,False,2020-04-19
44,False,2020-04-26
0,False,2020-05-03
0,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
44,False,2020-06-07
0,False,2020-06-14
0,False,2020-06-21
49,False,2020-06-28
100,False,2020-07-05
51,False,2020-07-12
51,False,2020-07-19
51,False,2020-07-26
0,False,2020-08-02
51,False,2020-08-09
0,False,2020-08-16
50,False,2020-08-23
0,False,2020-08-30
0,False,2020-09-06
0,True,2020-09-13
