how to hang drywall by yourself,isPartial,date
0,False,2019-09-01
0,False,2019-09-08
71,False,2019-09-15
72,False,2019-09-22
0,False,2019-09-29
36,False,2019-10-06
54,False,2019-10-13
0,False,2019-10-20
36,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
35,False,2019-11-17
74,False,2019-11-24
0,False,2019-12-01
35,False,2019-12-08
36,False,2019-12-15
41,False,2019-12-22
0,False,2019-12-29
35,False,2020-01-05
33,False,2020-01-12
0,False,2020-01-19
34,False,2020-01-26
68,False,2020-02-02
0,False,2020-02-09
33,False,2020-02-16
32,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
0,False,2020-03-15
31,False,2020-03-22
31,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
60,False,2020-05-03
31,False,2020-05-10
77,False,2020-05-17
0,False,2020-05-24
31,False,2020-05-31
0,False,2020-06-07
32,False,2020-06-14
0,False,2020-06-21
34,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
34,False,2020-07-19
35,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
100,False,2020-08-16
32,False,2020-08-23
