how to kill yourself without pain,isPartial,date
34,False,2019-01-06
33,False,2019-01-13
34,False,2019-01-20
33,False,2019-01-27
32,False,2019-02-03
33,False,2019-02-10
33,False,2019-02-17
32,False,2019-02-24
100,False,2019-03-03
34,False,2019-03-10
57,False,2019-03-17
34,False,2019-03-24
51,False,2019-03-31
34,False,2019-04-07
35,False,2019-04-14
0,False,2019-04-21
0,False,2019-04-28
51,False,2019-05-05
58,False,2019-05-12
53,False,2019-05-19
36,False,2019-05-26
34,False,2019-06-02
69,False,2019-06-09
35,False,2019-06-16
71,False,2019-06-23
73,False,2019-06-30
35,False,2019-07-07
35,False,2019-07-14
36,False,2019-07-21
0,False,2019-07-28
53,False,2019-08-04
0,False,2019-08-11
69,False,2019-08-18
33,False,2019-08-25
32,False,2019-09-01
0,False,2019-09-08
32,False,2019-09-15
32,False,2019-09-22
32,False,2019-09-29
32,False,2019-10-06
32,False,2019-10-13
31,False,2019-10-20
32,False,2019-10-27
32,False,2019-11-03
30,False,2019-11-10
0,False,2019-11-17
66,False,2019-11-24
31,False,2019-12-01
63,False,2019-12-08
64,False,2019-12-15
36,False,2019-12-22
33,False,2019-12-29
31,False,2020-01-05
30,False,2020-01-12
51,False,2020-01-19
59,False,2020-01-26
40,False,2020-02-02
30,False,2020-02-09
0,False,2020-02-16
0,False,2020-02-23
29,False,2020-03-01
29,False,2020-03-08
42,False,2020-03-15
28,False,2020-03-22
40,False,2020-03-29
41,False,2020-04-05
79,False,2020-04-12
39,False,2020-04-19
40,False,2020-04-26
53,False,2020-05-03
55,False,2020-05-10
41,False,2020-05-17
42,False,2020-05-24
36,False,2020-05-31
37,False,2020-06-07
43,False,2020-06-14
58,False,2020-06-21
60,False,2020-06-28
30,False,2020-07-05
89,False,2020-07-12
0,False,2020-07-19
30,False,2020-07-26
0,False,2020-08-02
79,False,2020-08-09
49,False,2020-08-16
57,False,2020-08-23
66,False,2020-08-30
