how to not kill yourself,isPartial,date
49,False,2019-09-01
98,False,2019-09-08
0,False,2019-09-15
24,False,2019-09-22
24,False,2019-09-29
49,False,2019-10-06
24,False,2019-10-13
60,False,2019-10-20
73,False,2019-10-27
84,False,2019-11-03
23,False,2019-11-10
48,False,2019-11-17
49,False,2019-11-24
35,False,2019-12-01
47,False,2019-12-08
0,False,2019-12-15
80,False,2019-12-22
50,False,2019-12-29
58,False,2020-01-05
100,False,2020-01-12
23,False,2020-01-19
34,False,2020-01-26
44,False,2020-02-02
23,False,2020-02-09
91,False,2020-02-16
43,False,2020-02-23
76,False,2020-03-01
45,False,2020-03-08
75,False,2020-03-15
21,False,2020-03-22
92,False,2020-03-29
31,False,2020-04-05
20,False,2020-04-12
20,False,2020-04-19
39,False,2020-04-26
20,False,2020-05-03
60,False,2020-05-10
52,False,2020-05-17
21,False,2020-05-24
41,False,2020-05-31
32,False,2020-06-07
43,False,2020-06-14
44,False,2020-06-21
33,False,2020-06-28
56,False,2020-07-05
45,False,2020-07-12
45,False,2020-07-19
34,False,2020-07-26
23,False,2020-08-02
67,False,2020-08-09
55,False,2020-08-16
33,False,2020-08-23
