where to buy gun,isPartial,date
71,False,2019-09-01
0,False,2019-09-08
52,False,2019-09-15
35,False,2019-09-22
36,False,2019-09-29
37,False,2019-10-06
0,False,2019-10-13
0,False,2019-10-20
37,False,2019-10-27
35,False,2019-11-03
34,False,2019-11-10
34,False,2019-11-17
35,False,2019-11-24
0,False,2019-12-01
70,False,2019-12-08
0,False,2019-12-15
58,False,2019-12-22
36,False,2019-12-29
33,False,2020-01-05
0,False,2020-01-12
34,False,2020-01-19
33,False,2020-01-26
33,False,2020-02-02
33,False,2020-02-09
34,False,2020-02-16
48,False,2020-02-23
31,False,2020-03-01
63,False,2020-03-08
52,False,2020-03-15
100,False,2020-03-22
30,False,2020-03-29
31,False,2020-04-05
45,False,2020-04-12
29,False,2020-04-19
0,False,2020-04-26
29,False,2020-05-03
45,False,2020-05-10
29,False,2020-05-17
40,False,2020-05-24
95,False,2020-05-31
77,False,2020-06-07
46,False,2020-06-14
63,False,2020-06-21
54,False,2020-06-28
65,False,2020-07-05
68,False,2020-07-12
34,False,2020-07-19
33,False,2020-07-26
65,False,2020-08-02
33,False,2020-08-09
32,False,2020-08-16
35,False,2020-08-23
