how to use gun,isPartial,date
68,False,2019-09-01
0,False,2019-09-08
100,False,2019-09-15
34,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
34,False,2019-10-13
33,False,2019-10-20
0,False,2019-10-27
49,False,2019-11-03
32,False,2019-11-10
32,False,2019-11-17
34,False,2019-11-24
48,False,2019-12-01
33,False,2019-12-08
34,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
48,False,2020-01-05
30,False,2020-01-12
43,False,2020-01-19
31,False,2020-01-26
30,False,2020-02-02
31,False,2020-02-09
0,False,2020-02-16
30,False,2020-02-23
30,False,2020-03-01
30,False,2020-03-08
0,False,2020-03-15
28,False,2020-03-22
0,False,2020-03-29
29,False,2020-04-05
28,False,2020-04-12
40,False,2020-04-19
28,False,2020-04-26
0,False,2020-05-03
57,False,2020-05-10
27,False,2020-05-17
38,False,2020-05-24
38,False,2020-05-31
56,False,2020-06-07
38,False,2020-06-14
30,False,2020-06-21
62,False,2020-06-28
31,False,2020-07-05
31,False,2020-07-12
63,False,2020-07-19
0,False,2020-07-26
31,False,2020-08-02
31,False,2020-08-09
31,False,2020-08-16
69,False,2020-08-23
