how to poison yourself,isPartial,date
40,False,2015-09-20
39,False,2015-09-27
40,False,2015-10-04
40,False,2015-10-11
52,False,2015-10-18
0,False,2015-10-25
0,False,2015-11-01
39,False,2015-11-08
51,False,2015-11-15
42,False,2015-11-22
0,False,2015-11-29
0,False,2015-12-06
58,False,2015-12-13
45,False,2015-12-20
42,False,2015-12-27
33,False,2016-01-03
62,False,2016-01-10
32,False,2016-01-17
64,False,2016-01-24
32,False,2016-01-31
31,False,2016-02-07
32,False,2016-02-14
63,False,2016-02-21
31,False,2016-02-28
31,False,2016-03-06
63,False,2016-03-13
0,False,2016-03-20
33,False,2016-03-27
0,False,2016-04-03
32,False,2016-04-10
32,False,2016-04-17
0,False,2016-04-24
47,False,2016-05-01
32,False,2016-05-08
0,False,2016-05-15
33,False,2016-05-22
34,False,2016-05-29
44,False,2016-06-05
100,False,2016-06-12
34,False,2016-06-19
0,False,2016-06-26
53,False,2016-07-03
0,False,2016-07-10
69,False,2016-07-17
34,False,2016-07-24
34,False,2016-07-31
35,False,2016-08-07
36,False,2016-08-14
34,False,2016-08-21
0,False,2016-08-28
33,False,2016-09-04
32,False,2016-09-11
0,False,2016-09-18
32,False,2016-09-25
32,False,2016-10-02
32,False,2016-10-09
32,False,2016-10-16
32,False,2016-10-23
31,False,2016-10-30
30,False,2016-11-06
62,False,2016-11-13
32,False,2016-11-20
29,False,2016-11-27
29,False,2016-12-04
30,False,2016-12-11
32,False,2016-12-18
0,False,2016-12-25
62,False,2017-01-01
59,False,2017-01-08
59,False,2017-01-15
43,False,2017-01-22
29,False,2017-01-29
29,False,2017-02-05
28,False,2017-02-12
58,False,2017-02-19
0,False,2017-02-26
55,False,2017-03-05
57,False,2017-03-12
29,False,2017-03-19
44,False,2017-03-26
29,False,2017-04-02
60,False,2017-04-09
44,False,2017-04-16
29,False,2017-04-23
29,False,2017-04-30
59,False,2017-05-07
0,False,2017-05-14
32,False,2017-05-21
32,False,2017-05-28
63,False,2017-06-04
48,False,2017-06-11
30,False,2017-06-18
32,False,2017-06-25
34,False,2017-07-02
96,False,2017-07-09
32,False,2017-07-16
0,False,2017-07-23
46,False,2017-07-30
30,False,2017-08-06
62,False,2017-08-13
0,False,2017-08-20
44,False,2017-08-27
59,False,2017-09-03
29,False,2017-09-10
39,False,2017-09-17
30,False,2017-09-24
38,False,2017-10-01
67,False,2017-10-08
0,False,2017-10-15
29,False,2017-10-22
29,False,2017-10-29
43,False,2017-11-05
28,False,2017-11-12
0,False,2017-11-19
42,False,2017-11-26
42,False,2017-12-03
29,False,2017-12-10
31,False,2017-12-17
33,False,2017-12-24
30,False,2017-12-31
56,False,2018-01-07
29,False,2018-01-14
28,False,2018-01-21
28,False,2018-01-28
28,False,2018-02-04
55,False,2018-02-11
28,False,2018-02-18
41,False,2018-02-25
28,False,2018-03-04
37,False,2018-03-11
28,False,2018-03-18
44,False,2018-03-25
38,False,2018-04-01
28,False,2018-04-08
28,False,2018-04-15
0,False,2018-04-22
28,False,2018-04-29
0,False,2018-05-06
29,False,2018-05-13
59,False,2018-05-20
45,False,2018-05-27
59,False,2018-06-03
29,False,2018-06-10
29,False,2018-06-17
30,False,2018-06-24
31,False,2018-07-01
29,False,2018-07-08
0,False,2018-07-15
30,False,2018-07-22
30,False,2018-07-29
30,False,2018-08-05
30,False,2018-08-12
30,False,2018-08-19
29,False,2018-08-26
43,False,2018-09-02
28,False,2018-09-09
43,False,2018-09-16
72,False,2018-09-23
43,False,2018-09-30
29,False,2018-10-07
44,False,2018-10-14
29,False,2018-10-21
29,False,2018-10-28
27,False,2018-11-04
29,False,2018-11-11
30,False,2018-11-18
0,False,2018-11-25
0,False,2018-12-02
71,False,2018-12-09
29,False,2018-12-16
33,False,2018-12-23
0,False,2018-12-30
56,False,2019-01-06
55,False,2019-01-13
28,False,2019-01-20
27,False,2019-01-27
27,False,2019-02-03
46,False,2019-02-10
27,False,2019-02-17
27,False,2019-02-24
28,False,2019-03-03
42,False,2019-03-10
57,False,2019-03-17
28,False,2019-03-24
28,False,2019-03-31
0,False,2019-04-07
29,False,2019-04-14
59,False,2019-04-21
28,False,2019-04-28
56,False,2019-05-05
39,False,2019-05-12
39,False,2019-05-19
30,False,2019-05-26
0,False,2019-06-02
29,False,2019-06-09
29,False,2019-06-16
0,False,2019-06-23
61,False,2019-06-30
0,False,2019-07-07
44,False,2019-07-14
30,False,2019-07-21
30,False,2019-07-28
0,False,2019-08-04
28,False,2019-08-11
28,False,2019-08-18
27,False,2019-08-25
27,False,2019-09-01
44,False,2019-09-08
26,False,2019-09-15
40,False,2019-09-22
27,False,2019-09-29
53,False,2019-10-06
27,False,2019-10-13
44,False,2019-10-20
26,False,2019-10-27
26,False,2019-11-03
26,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
38,False,2019-12-01
0,False,2019-12-08
27,False,2019-12-15
30,False,2019-12-22
0,False,2019-12-29
52,False,2020-01-05
37,False,2020-01-12
51,False,2020-01-19
33,False,2020-01-26
0,False,2020-02-02
25,False,2020-02-09
49,False,2020-02-16
49,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
35,False,2020-03-15
34,False,2020-03-22
45,False,2020-03-29
23,False,2020-04-05
29,False,2020-04-12
22,False,2020-04-19
66,False,2020-04-26
22,False,2020-05-03
23,False,2020-05-10
38,False,2020-05-17
58,False,2020-05-24
30,False,2020-05-31
35,False,2020-06-07
48,False,2020-06-14
24,False,2020-06-21
25,False,2020-06-28
25,False,2020-07-05
33,False,2020-07-12
25,False,2020-07-19
25,False,2020-07-26
25,False,2020-08-02
25,False,2020-08-09
25,False,2020-08-16
24,False,2020-08-23
24,False,2020-08-30
39,False,2020-09-06
0,True,2020-09-13
