how to kill yourself -dayz -ark -rust,isPartial,date
0,False,2019-09-08
38,False,2019-09-15
0,False,2019-09-22
59,False,2019-09-29
81,False,2019-10-06
39,False,2019-10-13
0,False,2019-10-20
100,False,2019-10-27
97,False,2019-11-03
93,False,2019-11-10
0,False,2019-11-17
51,False,2019-11-24
49,False,2019-12-01
39,False,2019-12-08
39,False,2019-12-15
84,False,2019-12-22
59,False,2019-12-29
36,False,2020-01-05
34,False,2020-01-12
49,False,2020-01-19
36,False,2020-01-26
72,False,2020-02-02
61,False,2020-02-09
74,False,2020-02-16
94,False,2020-02-23
52,False,2020-03-01
51,False,2020-03-08
86,False,2020-03-15
44,False,2020-03-22
49,False,2020-03-29
50,False,2020-04-05
44,False,2020-04-12
95,False,2020-04-19
63,False,2020-04-26
32,False,2020-05-03
65,False,2020-05-10
32,False,2020-05-17
67,False,2020-05-24
52,False,2020-05-31
52,False,2020-06-07
44,False,2020-06-14
34,False,2020-06-21
58,False,2020-06-28
47,False,2020-07-05
37,False,2020-07-12
73,False,2020-07-19
36,False,2020-07-26
36,False,2020-08-02
55,False,2020-08-09
36,False,2020-08-16
72,False,2020-08-23
0,True,2020-08-30
