where to buy gun,isPartial,date
0,False,2019-09-01
57,False,2019-09-08
0,False,2019-09-15
29,False,2019-09-22
29,False,2019-09-29
30,False,2019-10-06
29,False,2019-10-13
29,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
56,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
28,False,2019-12-01
29,False,2019-12-08
29,False,2019-12-15
0,False,2019-12-22
59,False,2019-12-29
28,False,2020-01-05
26,False,2020-01-12
54,False,2020-01-19
27,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
26,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
26,False,2020-03-08
100,False,2020-03-15
49,False,2020-03-22
24,False,2020-03-29
24,False,2020-04-05
24,False,2020-04-12
23,False,2020-04-19
24,False,2020-04-26
24,False,2020-05-03
24,False,2020-05-10
25,False,2020-05-17
25,False,2020-05-24
60,False,2020-05-31
25,False,2020-06-07
99,False,2020-06-14
25,False,2020-06-21
52,False,2020-06-28
27,False,2020-07-05
53,False,2020-07-12
27,False,2020-07-19
40,False,2020-07-26
25,False,2020-08-02
50,False,2020-08-09
25,False,2020-08-16
24,False,2020-08-23
