how to kill yourself,isPartial,date
26,False,2019-09-01
25,False,2019-09-08
25,False,2019-09-15
25,False,2019-09-22
0,False,2019-09-29
27,False,2019-10-06
26,False,2019-10-13
26,False,2019-10-20
53,False,2019-10-27
52,False,2019-11-03
100,False,2019-11-10
0,False,2019-11-17
26,False,2019-11-24
48,False,2019-12-01
52,False,2019-12-08
26,False,2019-12-15
0,False,2019-12-22
26,False,2019-12-29
24,False,2020-01-05
23,False,2020-01-12
50,False,2020-01-19
49,False,2020-01-26
24,False,2020-02-02
74,False,2020-02-09
49,False,2020-02-16
47,False,2020-02-23
0,False,2020-03-01
35,False,2020-03-08
0,False,2020-03-15
33,False,2020-03-22
44,False,2020-03-29
45,False,2020-04-05
22,False,2020-04-12
43,False,2020-04-19
21,False,2020-04-26
43,False,2020-05-03
44,False,2020-05-10
0,False,2020-05-17
45,False,2020-05-24
21,False,2020-05-31
21,False,2020-06-07
22,False,2020-06-14
0,False,2020-06-21
35,False,2020-06-28
0,False,2020-07-05
50,False,2020-07-12
49,False,2020-07-19
24,False,2020-07-26
0,False,2020-08-02
24,False,2020-08-09
0,False,2020-08-16
24,False,2020-08-23
