where to buy hand gun,isPartial,date
0,False,2019-09-01
0,False,2019-09-08
20,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
20,False,2019-10-06
20,False,2019-10-13
39,False,2019-10-20
20,False,2019-10-27
20,False,2019-11-03
26,False,2019-11-10
0,False,2019-11-17
41,False,2019-11-24
0,False,2019-12-01
19,False,2019-12-08
30,False,2019-12-15
45,False,2019-12-22
42,False,2019-12-29
19,False,2020-01-05
18,False,2020-01-12
39,False,2020-01-19
0,False,2020-01-26
0,False,2020-02-02
19,False,2020-02-09
18,False,2020-02-16
0,False,2020-02-23
18,False,2020-03-01
18,False,2020-03-08
100,False,2020-03-15
35,False,2020-03-22
59,False,2020-03-29
26,False,2020-04-05
17,False,2020-04-12
24,False,2020-04-19
16,False,2020-04-26
17,False,2020-05-03
17,False,2020-05-10
34,False,2020-05-17
18,False,2020-05-24
63,False,2020-05-31
35,False,2020-06-07
48,False,2020-06-14
61,False,2020-06-21
37,False,2020-06-28
28,False,2020-07-05
28,False,2020-07-12
31,False,2020-07-19
38,False,2020-07-26
19,False,2020-08-02
19,False,2020-08-09
18,False,2020-08-16
46,False,2020-08-23
