how to kill yourself quickly,isPartial,date
51,False,2019-09-01
100,False,2019-09-08
0,False,2019-09-15
100,False,2019-09-22
50,False,2019-09-29
50,False,2019-10-06
50,False,2019-10-13
0,False,2019-10-20
50,False,2019-10-27
49,False,2019-11-03
0,False,2019-11-10
49,False,2019-11-17
51,False,2019-11-24
48,False,2019-12-01
0,False,2019-12-08
99,False,2019-12-15
0,False,2019-12-22
52,False,2019-12-29
0,False,2020-01-05
46,False,2020-01-12
96,False,2020-01-19
47,False,2020-01-26
47,False,2020-02-02
0,False,2020-02-09
46,False,2020-02-16
68,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
45,False,2020-03-15
43,False,2020-03-22
63,False,2020-03-29
86,False,2020-04-05
41,False,2020-04-12
41,False,2020-04-19
62,False,2020-04-26
0,False,2020-05-03
42,False,2020-05-10
43,False,2020-05-17
44,False,2020-05-24
64,False,2020-05-31
43,False,2020-06-07
89,False,2020-06-14
46,False,2020-06-21
47,False,2020-06-28
46,False,2020-07-05
46,False,2020-07-12
47,False,2020-07-19
48,False,2020-07-26
0,False,2020-08-02
47,False,2020-08-09
46,False,2020-08-16
0,False,2020-08-23
