how to kill yourself wikihow,isPartial,date
29,False,2019-09-01
0,False,2019-09-08
28,False,2019-09-15
43,False,2019-09-22
29,False,2019-09-29
29,False,2019-10-06
29,False,2019-10-13
28,False,2019-10-20
28,False,2019-10-27
0,False,2019-11-03
56,False,2019-11-10
28,False,2019-11-17
0,False,2019-11-24
27,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
30,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
27,False,2020-02-02
0,False,2020-02-09
0,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
0,False,2020-04-19
24,False,2020-04-26
0,False,2020-05-03
24,False,2020-05-10
0,False,2020-05-17
25,False,2020-05-24
0,False,2020-05-31
100,False,2020-06-07
26,False,2020-06-14
26,False,2020-06-21
27,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
26,False,2020-08-16
0,False,2020-08-23
