how long does it take to hang yourself,isPartial,date
0,False,2019-09-01
74,False,2019-09-08
73,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
100,False,2019-10-13
97,False,2019-10-20
0,False,2019-10-27
49,False,2019-11-03
0,False,2019-11-10
48,False,2019-11-17
51,False,2019-11-24
48,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
52,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
0,False,2020-02-02
47,False,2020-02-09
46,False,2020-02-16
0,False,2020-02-23
91,False,2020-03-01
90,False,2020-03-08
43,False,2020-03-15
43,False,2020-03-22
42,False,2020-03-29
0,False,2020-04-05
41,False,2020-04-12
41,False,2020-04-19
41,False,2020-04-26
41,False,2020-05-03
0,False,2020-05-10
64,False,2020-05-17
44,False,2020-05-24
84,False,2020-05-31
43,False,2020-06-07
44,False,2020-06-14
45,False,2020-06-21
46,False,2020-06-28
0,False,2020-07-05
47,False,2020-07-12
47,False,2020-07-19
0,False,2020-07-26
47,False,2020-08-02
46,False,2020-08-09
45,False,2020-08-16
44,False,2020-08-23
