how to kill yourself easily,isPartial,date
0,False,2019-09-01
100,False,2019-09-08
65,False,2019-09-15
34,False,2019-09-22
0,False,2019-09-29
34,False,2019-10-06
34,False,2019-10-13
0,False,2019-10-20
33,False,2019-10-27
33,False,2019-11-03
0,False,2019-11-10
33,False,2019-11-17
46,False,2019-11-24
32,False,2019-12-01
32,False,2019-12-08
0,False,2019-12-15
75,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
31,False,2020-01-12
32,False,2020-01-19
0,False,2020-01-26
31,False,2020-02-02
31,False,2020-02-09
31,False,2020-02-16
30,False,2020-02-23
0,False,2020-03-01
60,False,2020-03-08
44,False,2020-03-15
58,False,2020-03-22
0,False,2020-03-29
29,False,2020-04-05
28,False,2020-04-12
27,False,2020-04-19
41,False,2020-04-26
28,False,2020-05-03
38,False,2020-05-10
0,False,2020-05-17
30,False,2020-05-24
0,False,2020-05-31
29,False,2020-06-07
45,False,2020-06-14
0,False,2020-06-21
78,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
32,False,2020-07-19
31,False,2020-07-26
62,False,2020-08-02
31,False,2020-08-09
31,False,2020-08-16
31,False,2020-08-23
