how to kill yourself,isPartial,date
48,False,2019-09-01
0,False,2019-09-08
46,False,2019-09-15
47,False,2019-09-22
0,False,2019-09-29
48,False,2019-10-06
96,False,2019-10-13
0,False,2019-10-20
46,False,2019-10-27
0,False,2019-11-03
46,False,2019-11-10
46,False,2019-11-17
49,False,2019-11-24
0,False,2019-12-01
0,False,2019-12-08
48,False,2019-12-15
81,False,2019-12-22
100,False,2019-12-29
46,False,2020-01-05
43,False,2020-01-12
45,False,2020-01-19
89,False,2020-01-26
0,False,2020-02-02
45,False,2020-02-09
44,False,2020-02-16
86,False,2020-02-23
0,False,2020-03-01
44,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
40,False,2020-03-29
0,False,2020-04-05
57,False,2020-04-12
39,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
40,False,2020-05-10
42,False,2020-05-17
43,False,2020-05-24
0,False,2020-05-31
43,False,2020-06-07
44,False,2020-06-14
0,False,2020-06-21
47,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
0,False,2020-07-19
47,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
0,False,2020-08-23
