how to kill yourself,isPartial,date
36,False,2019-09-01
35,False,2019-09-08
35,False,2019-09-15
0,False,2019-09-22
36,False,2019-09-29
76,False,2019-10-06
37,False,2019-10-13
54,False,2019-10-20
36,False,2019-10-27
35,False,2019-11-03
35,False,2019-11-10
35,False,2019-11-17
36,False,2019-11-24
35,False,2019-12-01
36,False,2019-12-08
36,False,2019-12-15
0,False,2019-12-22
37,False,2019-12-29
34,False,2020-01-05
33,False,2020-01-12
34,False,2020-01-19
33,False,2020-01-26
100,False,2020-02-02
33,False,2020-02-09
49,False,2020-02-16
32,False,2020-02-23
79,False,2020-03-01
32,False,2020-03-08
62,False,2020-03-15
30,False,2020-03-22
29,False,2020-03-29
60,False,2020-04-05
88,False,2020-04-12
49,False,2020-04-19
30,False,2020-04-26
50,False,2020-05-03
76,False,2020-05-10
0,False,2020-05-17
42,False,2020-05-24
89,False,2020-05-31
0,False,2020-06-07
62,False,2020-06-14
0,False,2020-06-21
65,False,2020-06-28
66,False,2020-07-05
67,False,2020-07-12
83,False,2020-07-19
33,False,2020-07-26
47,False,2020-08-02
52,False,2020-08-09
41,False,2020-08-16
35,False,2020-08-23
