suicide rate,isPartial,date
77,False,2019-08-11
58,False,2019-08-18
64,False,2019-08-25
70,False,2019-09-01
86,False,2019-09-08
73,False,2019-09-15
74,False,2019-09-22
72,False,2019-09-29
72,False,2019-10-06
86,False,2019-10-13
74,False,2019-10-20
88,False,2019-10-27
80,False,2019-11-03
80,False,2019-11-10
78,False,2019-11-17
67,False,2019-11-24
78,False,2019-12-01
65,False,2019-12-08
65,False,2019-12-15
52,False,2019-12-22
64,False,2019-12-29
58,False,2020-01-05
62,False,2020-01-12
64,False,2020-01-19
70,False,2020-01-26
71,False,2020-02-02
75,False,2020-02-09
81,False,2020-02-16
78,False,2020-02-23
76,False,2020-03-01
74,False,2020-03-08
59,False,2020-03-15
72,False,2020-03-22
93,False,2020-03-29
83,False,2020-04-05
96,False,2020-04-12
99,False,2020-04-19
100,False,2020-04-26
89,False,2020-05-03
81,False,2020-05-10
82,False,2020-05-17
91,False,2020-05-24
47,False,2020-05-31
64,False,2020-06-07
84,False,2020-06-14
63,False,2020-06-21
66,False,2020-06-28
68,False,2020-07-05
87,False,2020-07-12
65,False,2020-07-19
82,False,2020-07-26
72,True,2020-08-02
