suicide hotline,isPartial,date
73,False,2019-08-11
69,False,2019-08-18
72,False,2019-08-25
73,False,2019-09-01
100,False,2019-09-08
74,False,2019-09-15
69,False,2019-09-22
79,False,2019-09-29
76,False,2019-10-06
72,False,2019-10-13
74,False,2019-10-20
75,False,2019-10-27
80,False,2019-11-03
69,False,2019-11-10
82,False,2019-11-17
65,False,2019-11-24
74,False,2019-12-01
80,False,2019-12-08
82,False,2019-12-15
80,False,2019-12-22
81,False,2019-12-29
78,False,2020-01-05
73,False,2020-01-12
71,False,2020-01-19
76,False,2020-01-26
75,False,2020-02-02
73,False,2020-02-09
78,False,2020-02-16
73,False,2020-02-23
75,False,2020-03-01
72,False,2020-03-08
66,False,2020-03-15
67,False,2020-03-22
70,False,2020-03-29
69,False,2020-04-05
74,False,2020-04-12
68,False,2020-04-19
78,False,2020-04-26
70,False,2020-05-03
77,False,2020-05-10
69,False,2020-05-17
73,False,2020-05-24
59,False,2020-05-31
66,False,2020-06-07
92,False,2020-06-14
86,False,2020-06-21
84,False,2020-06-28
89,False,2020-07-05
83,False,2020-07-12
83,False,2020-07-19
77,False,2020-07-26
71,True,2020-08-02
