coronavirus suicide,isPartial,date
0,False,2019-08-11
0,False,2019-08-18
0,False,2019-08-25
0,False,2019-09-01
0,False,2019-09-08
0,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
4,False,2020-01-19
14,False,2020-01-26
8,False,2020-02-02
6,False,2020-02-09
5,False,2020-02-16
17,False,2020-02-23
22,False,2020-03-01
53,False,2020-03-08
62,False,2020-03-15
86,False,2020-03-22
100,False,2020-03-29
96,False,2020-04-05
94,False,2020-04-12
84,False,2020-04-19
82,False,2020-04-26
63,False,2020-05-03
53,False,2020-05-10
48,False,2020-05-17
38,False,2020-05-24
9,False,2020-05-31
14,False,2020-06-07
17,False,2020-06-14
14,False,2020-06-21
23,False,2020-06-28
19,False,2020-07-05
19,False,2020-07-12
13,False,2020-07-19
11,False,2020-07-26
9,True,2020-08-02
