suicide prevention,isPartial,date
18,False,2019-08-11
19,False,2019-08-18
20,False,2019-08-25
39,False,2019-09-01
100,False,2019-09-08
32,False,2019-09-15
26,False,2019-09-22
23,False,2019-09-29
22,False,2019-10-06
20,False,2019-10-13
19,False,2019-10-20
19,False,2019-10-27
19,False,2019-11-03
15,False,2019-11-10
17,False,2019-11-17
12,False,2019-11-24
15,False,2019-12-01
16,False,2019-12-08
15,False,2019-12-15
11,False,2019-12-22
12,False,2019-12-29
14,False,2020-01-05
14,False,2020-01-12
17,False,2020-01-19
14,False,2020-01-26
15,False,2020-02-02
18,False,2020-02-09
16,False,2020-02-16
16,False,2020-02-23
14,False,2020-03-01
15,False,2020-03-08
10,False,2020-03-15
9,False,2020-03-22
10,False,2020-03-29
11,False,2020-04-05
10,False,2020-04-12
12,False,2020-04-19
13,False,2020-04-26
13,False,2020-05-03
12,False,2020-05-10
11,False,2020-05-17
11,False,2020-05-24
10,False,2020-05-31
12,False,2020-06-07
13,False,2020-06-14
12,False,2020-06-21
11,False,2020-06-28
12,False,2020-07-05
11,False,2020-07-12
15,False,2020-07-19
12,False,2020-07-26
12,True,2020-08-02
