suicide squad harley quinn,isPartial,date
33,False,2019-08-11
21,False,2019-08-18
21,False,2019-08-25
23,False,2019-09-01
35,False,2019-09-08
32,False,2019-09-15
43,False,2019-09-22
63,False,2019-09-29
62,False,2019-10-06
72,False,2019-10-13
97,False,2019-10-20
100,False,2019-10-27
26,False,2019-11-03
11,False,2019-11-10
15,False,2019-11-17
26,False,2019-11-24
23,False,2019-12-01
23,False,2019-12-08
18,False,2019-12-15
29,False,2019-12-22
24,False,2019-12-29
27,False,2020-01-05
62,False,2020-01-12
49,False,2020-01-19
33,False,2020-01-26
65,False,2020-02-02
80,False,2020-02-09
57,False,2020-02-16
32,False,2020-02-23
24,False,2020-03-01
24,False,2020-03-08
21,False,2020-03-15
27,False,2020-03-22
43,False,2020-03-29
38,False,2020-04-05
28,False,2020-04-12
20,False,2020-04-19
39,False,2020-04-26
22,False,2020-05-03
41,False,2020-05-10
32,False,2020-05-17
30,False,2020-05-24
31,False,2020-05-31
28,False,2020-06-07
26,False,2020-06-14
18,False,2020-06-21
19,False,2020-06-28
16,False,2020-07-05
27,False,2020-07-12
20,False,2020-07-19
23,False,2020-07-26
15,True,2020-08-02
