suicide quotes,isPartial,date
70,False,2019-09-08
47,False,2019-09-15
47,False,2019-09-22
49,False,2019-09-29
50,False,2019-10-06
0,False,2019-10-13
48,False,2019-10-20
100,False,2019-10-27
48,False,2019-11-03
0,False,2019-11-10
92,False,2019-11-17
48,False,2019-11-24
91,False,2019-12-01
48,False,2019-12-08
48,False,2019-12-15
52,False,2019-12-22
0,False,2019-12-29
44,False,2020-01-05
43,False,2020-01-12
46,False,2020-01-19
45,False,2020-01-26
45,False,2020-02-02
46,False,2020-02-09
0,False,2020-02-16
0,False,2020-02-23
43,False,2020-03-01
42,False,2020-03-08
43,False,2020-03-15
0,False,2020-03-22
40,False,2020-03-29
42,False,2020-04-05
62,False,2020-04-12
39,False,2020-04-19
39,False,2020-04-26
40,False,2020-05-03
79,False,2020-05-10
40,False,2020-05-17
0,False,2020-05-24
39,False,2020-05-31
39,False,2020-06-07
41,False,2020-06-14
57,False,2020-06-21
44,False,2020-06-28
45,False,2020-07-05
46,False,2020-07-12
0,False,2020-07-19
60,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
44,False,2020-08-16
0,False,2020-08-23
0,True,2020-08-30
