suicide prevention,isPartial,date
29,False,2015-09-20
20,False,2015-09-27
17,False,2015-10-04
15,False,2015-10-11
18,False,2015-10-18
13,False,2015-10-25
12,False,2015-11-01
12,False,2015-11-08
14,False,2015-11-15
8,False,2015-11-22
12,False,2015-11-29
11,False,2015-12-06
11,False,2015-12-13
7,False,2015-12-20
7,False,2015-12-27
9,False,2016-01-03
9,False,2016-01-10
8,False,2016-01-17
8,False,2016-01-24
10,False,2016-01-31
12,False,2016-02-07
11,False,2016-02-14
12,False,2016-02-21
9,False,2016-02-28
11,False,2016-03-06
10,False,2016-03-13
11,False,2016-03-20
10,False,2016-03-27
11,False,2016-04-03
12,False,2016-04-10
13,False,2016-04-17
12,False,2016-04-24
13,False,2016-05-01
10,False,2016-05-08
10,False,2016-05-15
9,False,2016-05-22
9,False,2016-05-29
8,False,2016-06-05
9,False,2016-06-12
8,False,2016-06-19
8,False,2016-06-26
7,False,2016-07-03
7,False,2016-07-10
9,False,2016-07-17
8,False,2016-07-24
9,False,2016-07-31
8,False,2016-08-07
11,False,2016-08-14
11,False,2016-08-21
19,False,2016-08-28
48,False,2016-09-04
28,False,2016-09-11
16,False,2016-09-18
18,False,2016-09-25
14,False,2016-10-02
14,False,2016-10-09
14,False,2016-10-16
14,False,2016-10-23
13,False,2016-10-30
12,False,2016-11-06
15,False,2016-11-13
10,False,2016-11-20
15,False,2016-11-27
17,False,2016-12-04
12,False,2016-12-11
9,False,2016-12-18
7,False,2016-12-25
9,False,2017-01-01
12,False,2017-01-08
10,False,2017-01-15
11,False,2017-01-22
12,False,2017-01-29
12,False,2017-02-05
13,False,2017-02-12
11,False,2017-02-19
13,False,2017-02-26
13,False,2017-03-05
12,False,2017-03-12
12,False,2017-03-19
12,False,2017-03-26
14,False,2017-04-02
16,False,2017-04-09
18,False,2017-04-16
23,False,2017-04-23
21,False,2017-04-30
17,False,2017-05-07
17,False,2017-05-14
15,False,2017-05-21
10,False,2017-05-28
12,False,2017-06-04
12,False,2017-06-11
12,False,2017-06-18
11,False,2017-06-25
9,False,2017-07-02
12,False,2017-07-09
18,False,2017-07-16
13,False,2017-07-23
14,False,2017-07-30
14,False,2017-08-06
15,False,2017-08-13
15,False,2017-08-20
23,False,2017-08-27
29,False,2017-09-03
50,False,2017-09-10
30,False,2017-09-17
23,False,2017-09-24
20,False,2017-10-01
19,False,2017-10-08
17,False,2017-10-15
15,False,2017-10-22
18,False,2017-10-29
17,False,2017-11-05
