suicide hotline,isPartial,date
36,False,2019-01-06
52,False,2019-01-13
70,False,2019-01-20
17,False,2019-01-27
25,False,2019-02-03
26,False,2019-02-10
50,False,2019-02-17
68,False,2019-02-24
53,False,2019-03-03
27,False,2019-03-10
18,False,2019-03-17
35,False,2019-03-24
36,False,2019-03-31
45,False,2019-04-07
27,False,2019-04-14
45,False,2019-04-21
72,False,2019-04-28
73,False,2019-05-05
74,False,2019-05-12
48,False,2019-05-19
58,False,2019-05-26
38,False,2019-06-02
47,False,2019-06-09
38,False,2019-06-16
19,False,2019-06-23
19,False,2019-06-30
77,False,2019-07-07
19,False,2019-07-14
19,False,2019-07-21
19,False,2019-07-28
92,False,2019-08-04
18,False,2019-08-11
0,False,2019-08-18
26,False,2019-08-25
100,False,2019-09-01
41,False,2019-09-08
33,False,2019-09-15
68,False,2019-09-22
17,False,2019-09-29
35,False,2019-10-06
34,False,2019-10-13
49,False,2019-10-20
17,False,2019-10-27
66,False,2019-11-03
33,False,2019-11-10
24,False,2019-11-17
41,False,2019-11-24
56,False,2019-12-01
66,False,2019-12-08
25,False,2019-12-15
71,False,2019-12-22
34,False,2019-12-29
32,False,2020-01-05
46,False,2020-01-12
32,False,2020-01-19
31,False,2020-01-26
92,False,2020-02-02
62,False,2020-02-09
0,False,2020-02-16
45,False,2020-02-23
15,False,2020-03-01
29,False,2020-03-08
15,False,2020-03-15
49,False,2020-03-22
41,False,2020-03-29
35,False,2020-04-05
14,False,2020-04-12
41,False,2020-04-19
14,False,2020-04-26
42,False,2020-05-03
36,False,2020-05-10
50,False,2020-05-17
44,False,2020-05-24
42,False,2020-05-31
57,False,2020-06-07
29,False,2020-06-14
52,False,2020-06-21
46,False,2020-06-28
69,False,2020-07-05
31,False,2020-07-12
16,False,2020-07-19
46,False,2020-07-26
29,False,2020-08-02
51,False,2020-08-09
35,False,2020-08-16
28,False,2020-08-23
36,False,2020-08-30
