suicide quotes + suicide help quotes + suicide sympathy + suicide survivor quotes,isPartial,date
75,False,2019-01-06
0,False,2019-01-13
0,False,2019-01-20
0,False,2019-01-27
0,False,2019-02-03
46,False,2019-02-10
0,False,2019-02-17
94,False,2019-02-24
49,False,2019-03-03
100,False,2019-03-10
51,False,2019-03-17
0,False,2019-03-24
0,False,2019-03-31
0,False,2019-04-07
0,False,2019-04-14
53,False,2019-04-21
51,False,2019-04-28
52,False,2019-05-05
0,False,2019-05-12
53,False,2019-05-19
52,False,2019-05-26
100,False,2019-06-02
0,False,2019-06-09
0,False,2019-06-16
53,False,2019-06-23
54,False,2019-06-30
0,False,2019-07-07
53,False,2019-07-14
53,False,2019-07-21
0,False,2019-07-28
0,False,2019-08-04
0,False,2019-08-11
0,False,2019-08-18
0,False,2019-08-25
49,False,2019-09-01
0,False,2019-09-08
49,False,2019-09-15
49,False,2019-09-22
48,False,2019-09-29
49,False,2019-10-06
49,False,2019-10-13
47,False,2019-10-20
47,False,2019-10-27
47,False,2019-11-03
0,False,2019-11-10
47,False,2019-11-17
0,False,2019-11-24
45,False,2019-12-01
46,False,2019-12-08
0,False,2019-12-15
52,False,2019-12-22
48,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
45,False,2020-01-19
0,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
0,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
39,False,2020-04-05
76,False,2020-04-12
37,False,2020-04-19
38,False,2020-04-26
0,False,2020-05-03
39,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
38,False,2020-05-31
0,False,2020-06-07
0,False,2020-06-14
0,False,2020-06-21
0,False,2020-06-28
42,False,2020-07-05
42,False,2020-07-12
43,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
0,False,2020-08-23
0,False,2020-08-30
