suicide prevention + suicide postvention,isPartial,date
14,False,2019-01-06
14,False,2019-01-13
14,False,2019-01-20
15,False,2019-01-27
16,False,2019-02-03
16,False,2019-02-10
19,False,2019-02-17
41,False,2019-02-24
19,False,2019-03-03
17,False,2019-03-10
17,False,2019-03-17
18,False,2019-03-24
16,False,2019-03-31
16,False,2019-04-07
15,False,2019-04-14
17,False,2019-04-21
19,False,2019-04-28
16,False,2019-05-05
14,False,2019-05-12
15,False,2019-05-19
13,False,2019-05-26
12,False,2019-06-02
14,False,2019-06-09
13,False,2019-06-16
14,False,2019-06-23
13,False,2019-06-30
14,False,2019-07-07
12,False,2019-07-14
13,False,2019-07-21
13,False,2019-07-28
15,False,2019-08-04
18,False,2019-08-11
20,False,2019-08-18
21,False,2019-08-25
38,False,2019-09-01
100,False,2019-09-08
29,False,2019-09-15
26,False,2019-09-22
22,False,2019-09-29
22,False,2019-10-06
20,False,2019-10-13
19,False,2019-10-20
18,False,2019-10-27
17,False,2019-11-03
17,False,2019-11-10
16,False,2019-11-17
13,False,2019-11-24
15,False,2019-12-01
15,False,2019-12-08
14,False,2019-12-15
11,False,2019-12-22
11,False,2019-12-29
15,False,2020-01-05
16,False,2020-01-12
18,False,2020-01-19
15,False,2020-01-26
15,False,2020-02-02
18,False,2020-02-09
16,False,2020-02-16
17,False,2020-02-23
17,False,2020-03-01
14,False,2020-03-08
10,False,2020-03-15
11,False,2020-03-22
11,False,2020-03-29
10,False,2020-04-05
10,False,2020-04-12
11,False,2020-04-19
12,False,2020-04-26
12,False,2020-05-03
12,False,2020-05-10
11,False,2020-05-17
11,False,2020-05-24
10,False,2020-05-31
12,False,2020-06-07
12,False,2020-06-14
12,False,2020-06-21
10,False,2020-06-28
12,False,2020-07-05
12,False,2020-07-12
17,False,2020-07-19
12,False,2020-07-26
12,False,2020-08-02
12,False,2020-08-09
15,False,2020-08-16
16,False,2020-08-23
55,False,2020-08-30
