suicide hotline,isPartial,date
36,False,2019-09-22
36,False,2019-09-29
73,False,2019-10-06
36,False,2019-10-13
35,False,2019-10-20
53,False,2019-10-27
53,False,2019-11-03
68,False,2019-11-10
0,False,2019-11-17
37,False,2019-11-24
69,False,2019-12-01
35,False,2019-12-08
54,False,2019-12-15
60,False,2019-12-22
73,False,2019-12-29
68,False,2020-01-05
64,False,2020-01-12
68,False,2020-01-19
100,False,2020-01-26
49,False,2020-02-02
66,False,2020-02-09
80,False,2020-02-16
63,False,2020-02-23
79,False,2020-03-01
32,False,2020-03-08
31,False,2020-03-15
45,False,2020-03-22
30,False,2020-03-29
92,False,2020-04-05
60,False,2020-04-12
57,False,2020-04-19
88,False,2020-04-26
30,False,2020-05-03
60,False,2020-05-10
29,False,2020-05-17
75,False,2020-05-24
0,False,2020-05-31
89,False,2020-06-07
46,False,2020-06-14
94,False,2020-06-21
65,False,2020-06-28
0,False,2020-07-05
66,False,2020-07-12
66,False,2020-07-19
67,False,2020-07-26
99,False,2020-08-02
84,False,2020-08-09
66,False,2020-08-16
80,False,2020-08-23
94,False,2020-08-30
63,False,2020-09-06
0,True,2020-09-13
