suicide help,isPartial,date
56,False,2015-09-20
56,False,2015-09-27
70,False,2015-10-04
56,False,2015-10-11
73,False,2015-10-18
57,False,2015-10-25
58,False,2015-11-01
57,False,2015-11-08
56,False,2015-11-15
38,False,2015-11-22
63,False,2015-11-29
57,False,2015-12-06
53,False,2015-12-13
27,False,2015-12-20
45,False,2015-12-27
47,False,2016-01-03
38,False,2016-01-10
39,False,2016-01-17
77,False,2016-01-24
41,False,2016-01-31
68,False,2016-02-07
56,False,2016-02-14
55,False,2016-02-21
73,False,2016-02-28
57,False,2016-03-06
56,False,2016-03-13
49,False,2016-03-20
59,False,2016-03-27
64,False,2016-04-03
56,False,2016-04-10
44,False,2016-04-17
54,False,2016-04-24
58,False,2016-05-01
45,False,2016-05-08
42,False,2016-05-15
55,False,2016-05-22
54,False,2016-05-29
30,False,2016-06-05
41,False,2016-06-12
44,False,2016-06-19
38,False,2016-06-26
52,False,2016-07-03
36,False,2016-07-10
41,False,2016-07-17
50,False,2016-07-24
52,False,2016-07-31
59,False,2016-08-07
27,False,2016-08-14
36,False,2016-08-21
53,False,2016-08-28
61,False,2016-09-04
53,False,2016-09-11
65,False,2016-09-18
64,False,2016-09-25
60,False,2016-10-02
60,False,2016-10-09
68,False,2016-10-16
67,False,2016-10-23
55,False,2016-10-30
63,False,2016-11-06
62,False,2016-11-13
44,False,2016-11-20
63,False,2016-11-27
62,False,2016-12-04
67,False,2016-12-11
29,False,2016-12-18
39,False,2016-12-25
45,False,2017-01-01
68,False,2017-01-08
55,False,2017-01-15
53,False,2017-01-22
46,False,2017-01-29
50,False,2017-02-05
49,False,2017-02-12
54,False,2017-02-19
53,False,2017-02-26
50,False,2017-03-05
47,False,2017-03-12
56,False,2017-03-19
63,False,2017-03-26
53,False,2017-04-02
64,False,2017-04-09
71,False,2017-04-16
83,False,2017-04-23
58,False,2017-04-30
58,False,2017-05-07
65,False,2017-05-14
49,False,2017-05-21
52,False,2017-05-28
42,False,2017-06-04
56,False,2017-06-11
58,False,2017-06-18
32,False,2017-06-25
52,False,2017-07-02
49,False,2017-07-09
69,False,2017-07-16
44,False,2017-07-23
50,False,2017-07-30
42,False,2017-08-06
36,False,2017-08-13
43,False,2017-08-20
46,False,2017-08-27
60,False,2017-09-03
58,False,2017-09-10
72,False,2017-09-17
49,False,2017-09-24
54,False,2017-10-01
54,False,2017-10-08
72,False,2017-10-15
77,False,2017-10-22
56,False,2017-10-29
75,False,2017-11-05
73,False,2017-11-12
61,False,2017-11-19
67,False,2017-11-26
56,False,2017-12-03
47,False,2017-12-10
51,False,2017-12-17
36,False,2017-12-24
47,False,2017-12-31
44,False,2018-01-07
54,False,2018-01-14
63,False,2018-01-21
57,False,2018-01-28
56,False,2018-02-04
66,False,2018-02-11
67,False,2018-02-18
56,False,2018-02-25
54,False,2018-03-04
51,False,2018-03-11
56,False,2018-03-18
53,False,2018-03-25
50,False,2018-04-01
54,False,2018-04-08
50,False,2018-04-15
61,False,2018-04-22
68,False,2018-04-29
48,False,2018-05-06
60,False,2018-05-13
58,False,2018-05-20
39,False,2018-05-27
100,False,2018-06-03
91,False,2018-06-10
59,False,2018-06-17
63,False,2018-06-24
52,False,2018-07-01
48,False,2018-07-08
51,False,2018-07-15
52,False,2018-07-22
34,False,2018-07-29
52,False,2018-08-05
46,False,2018-08-12
55,False,2018-08-19
40,False,2018-08-26
46,False,2018-09-02
70,False,2018-09-09
56,False,2018-09-16
69,False,2018-09-23
70,False,2018-09-30
74,False,2018-10-07
70,False,2018-10-14
59,False,2018-10-21
59,False,2018-10-28
56,False,2018-11-04
62,False,2018-11-11
46,False,2018-11-18
47,False,2018-11-25
73,False,2018-12-02
61,False,2018-12-09
50,False,2018-12-16
37,False,2018-12-23
37,False,2018-12-30
46,False,2019-01-06
48,False,2019-01-13
38,False,2019-01-20
60,False,2019-01-27
54,False,2019-02-03
51,False,2019-02-10
62,False,2019-02-17
56,False,2019-02-24
68,False,2019-03-03
44,False,2019-03-10
65,False,2019-03-17
70,False,2019-03-24
59,False,2019-03-31
54,False,2019-04-07
50,False,2019-04-14
51,False,2019-04-21
63,False,2019-04-28
43,False,2019-05-05
56,False,2019-05-12
60,False,2019-05-19
42,False,2019-05-26
38,False,2019-06-02
44,False,2019-06-09
41,False,2019-06-16
42,False,2019-06-23
31,False,2019-06-30
49,False,2019-07-07
40,False,2019-07-14
38,False,2019-07-21
48,False,2019-07-28
39,False,2019-08-04
46,False,2019-08-11
52,False,2019-08-18
41,False,2019-08-25
39,False,2019-09-01
61,False,2019-09-08
64,False,2019-09-15
50,False,2019-09-22
61,False,2019-09-29
52,False,2019-10-06
54,False,2019-10-13
47,False,2019-10-20
59,False,2019-10-27
63,False,2019-11-03
59,False,2019-11-10
44,False,2019-11-17
47,False,2019-11-24
52,False,2019-12-01
47,False,2019-12-08
46,False,2019-12-15
38,False,2019-12-22
34,False,2019-12-29
56,False,2020-01-05
54,False,2020-01-12
49,False,2020-01-19
48,False,2020-01-26
53,False,2020-02-02
52,False,2020-02-09
51,False,2020-02-16
54,False,2020-02-23
63,False,2020-03-01
48,False,2020-03-08
26,False,2020-03-15
37,False,2020-03-22
46,False,2020-03-29
31,False,2020-04-05
43,False,2020-04-12
48,False,2020-04-19
55,False,2020-04-26
44,False,2020-05-03
48,False,2020-05-10
37,False,2020-05-17
45,False,2020-05-24
25,False,2020-05-31
37,False,2020-06-07
42,False,2020-06-14
43,False,2020-06-21
55,False,2020-06-28
50,False,2020-07-05
55,False,2020-07-12
44,False,2020-07-19
46,False,2020-07-26
43,False,2020-08-02
38,False,2020-08-09
45,False,2020-08-16
50,False,2020-08-23
45,False,2020-08-30
50,False,2020-09-06
53,True,2020-09-13
