suicide text hotline,isPartial,date
0,False,2019-09-22
45,False,2019-09-29
0,False,2019-10-06
45,False,2019-10-13
44,False,2019-10-20
44,False,2019-10-27
0,False,2019-11-03
44,False,2019-11-10
0,False,2019-11-17
90,False,2019-11-24
42,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
45,False,2019-12-22
43,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
82,False,2020-01-19
60,False,2020-01-26
39,False,2020-02-02
40,False,2020-02-09
0,False,2020-02-16
0,False,2020-02-23
39,False,2020-03-01
38,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
37,False,2020-04-05
36,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
37,False,2020-05-03
0,False,2020-05-10
0,False,2020-05-17
37,False,2020-05-24
36,False,2020-05-31
0,False,2020-06-07
39,False,2020-06-14
0,False,2020-06-21
40,False,2020-06-28
62,False,2020-07-05
41,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
41,False,2020-08-09
42,False,2020-08-16
40,False,2020-08-23
0,False,2020-08-30
100,False,2020-09-06
0,True,2020-09-13
