suicide prevention,isPartial,date
38,False,2019-09-22
29,False,2019-09-29
44,False,2019-10-06
36,False,2019-10-13
36,False,2019-10-20
37,False,2019-10-27
21,False,2019-11-03
17,False,2019-11-10
21,False,2019-11-17
32,False,2019-11-24
24,False,2019-12-01
21,False,2019-12-08
18,False,2019-12-15
29,False,2019-12-22
18,False,2019-12-29
17,False,2020-01-05
29,False,2020-01-12
31,False,2020-01-19
30,False,2020-01-26
30,False,2020-02-02
24,False,2020-02-09
17,False,2020-02-16
32,False,2020-02-23
14,False,2020-03-01
35,False,2020-03-08
16,False,2020-03-15
24,False,2020-03-22
27,False,2020-03-29
31,False,2020-04-05
32,False,2020-04-12
32,False,2020-04-19
15,False,2020-04-26
18,False,2020-05-03
24,False,2020-05-10
18,False,2020-05-17
14,False,2020-05-24
26,False,2020-05-31
23,False,2020-06-07
15,False,2020-06-14
16,False,2020-06-21
19,False,2020-06-28
15,False,2020-07-05
10,False,2020-07-12
20,False,2020-07-19
10,False,2020-07-26
20,False,2020-08-02
27,False,2020-08-09
23,False,2020-08-16
20,False,2020-08-23
52,False,2020-08-30
100,False,2020-09-06
20,True,2020-09-13
