suicide hotline,isPartial,date
0,False,2019-09-22
72,False,2019-09-29
0,False,2019-10-06
100,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
48,False,2019-11-03
0,False,2019-11-10
49,False,2019-11-17
51,False,2019-11-24
0,False,2019-12-01
49,False,2019-12-08
50,False,2019-12-15
56,False,2019-12-22
50,False,2019-12-29
48,False,2020-01-05
70,False,2020-01-12
49,False,2020-01-19
48,False,2020-01-26
0,False,2020-02-02
48,False,2020-02-09
49,False,2020-02-16
75,False,2020-02-23
45,False,2020-03-01
91,False,2020-03-08
42,False,2020-03-15
40,False,2020-03-22
51,False,2020-03-29
60,False,2020-04-05
38,False,2020-04-12
81,False,2020-04-19
39,False,2020-04-26
39,False,2020-05-03
0,False,2020-05-10
42,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
41,False,2020-06-07
66,False,2020-06-14
0,False,2020-06-21
42,False,2020-06-28
83,False,2020-07-05
42,False,2020-07-12
43,False,2020-07-19
84,False,2020-07-26
64,False,2020-08-02
42,False,2020-08-09
42,False,2020-08-16
62,False,2020-08-23
63,False,2020-08-30
42,False,2020-09-06
0,True,2020-09-13
