suicide assessment,isPartial,date
0,False,2019-09-22
38,False,2019-09-29
37,False,2019-10-06
37,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
36,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
36,False,2019-12-01
36,False,2019-12-08
37,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
34,False,2020-01-05
33,False,2020-01-12
34,False,2020-01-19
0,False,2020-01-26
67,False,2020-02-02
100,False,2020-02-09
32,False,2020-02-16
48,False,2020-02-23
32,False,2020-03-01
32,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
0,False,2020-04-05
60,False,2020-04-12
30,False,2020-04-19
31,False,2020-04-26
0,False,2020-05-03
31,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
31,False,2020-05-31
47,False,2020-06-07
32,False,2020-06-14
0,False,2020-06-21
0,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
34,False,2020-07-19
35,False,2020-07-26
34,False,2020-08-02
0,False,2020-08-09
35,False,2020-08-16
0,False,2020-08-23
33,False,2020-08-30
67,False,2020-09-06
0,True,2020-09-13
