suicide questions,isPartial,date
58,False,2019-01-06
54,False,2019-01-13
93,False,2019-01-20
61,False,2019-01-27
79,False,2019-02-03
35,False,2019-02-10
71,False,2019-02-17
84,False,2019-02-24
46,False,2019-03-03
52,False,2019-03-10
58,False,2019-03-17
100,False,2019-03-24
68,False,2019-03-31
83,False,2019-04-07
65,False,2019-04-14
76,False,2019-04-21
83,False,2019-04-28
68,False,2019-05-05
65,False,2019-05-12
38,False,2019-05-19
44,False,2019-05-26
48,False,2019-06-02
32,False,2019-06-09
65,False,2019-06-16
66,False,2019-06-23
45,False,2019-06-30
38,False,2019-07-07
38,False,2019-07-14
22,False,2019-07-21
22,False,2019-07-28
43,False,2019-08-04
48,False,2019-08-11
58,False,2019-08-18
25,False,2019-08-25
30,False,2019-09-01
54,False,2019-09-08
73,False,2019-09-15
44,False,2019-09-22
64,False,2019-09-29
55,False,2019-10-06
44,False,2019-10-13
82,False,2019-10-20
92,False,2019-10-27
63,False,2019-11-03
85,False,2019-11-10
77,False,2019-11-17
40,False,2019-11-24
24,False,2019-12-01
82,False,2019-12-08
44,False,2019-12-15
49,False,2019-12-22
38,False,2019-12-29
14,False,2020-01-05
41,False,2020-01-12
57,False,2020-01-19
83,False,2020-01-26
69,False,2020-02-02
69,False,2020-02-09
69,False,2020-02-16
49,False,2020-02-23
89,False,2020-03-01
40,False,2020-03-08
43,False,2020-03-15
55,False,2020-03-22
50,False,2020-03-29
67,False,2020-04-05
41,False,2020-04-12
56,False,2020-04-19
33,False,2020-04-26
61,False,2020-05-03
50,False,2020-05-10
46,False,2020-05-17
26,False,2020-05-24
46,False,2020-05-31
73,False,2020-06-07
35,False,2020-06-14
45,False,2020-06-21
37,False,2020-06-28
34,False,2020-07-05
37,False,2020-07-12
37,False,2020-07-19
42,False,2020-07-26
55,False,2020-08-02
41,False,2020-08-09
45,False,2020-08-16
44,False,2020-08-23
39,False,2020-08-30
