suicide prevention,isPartial,date
100,False,2019-09-08
35,False,2019-09-15
25,False,2019-09-22
21,False,2019-09-29
28,False,2019-10-06
25,False,2019-10-13
19,False,2019-10-20
17,False,2019-10-27
17,False,2019-11-03
13,False,2019-11-10
24,False,2019-11-17
11,False,2019-11-24
20,False,2019-12-01
19,False,2019-12-08
11,False,2019-12-15
12,False,2019-12-22
4,False,2019-12-29
12,False,2020-01-05
16,False,2020-01-12
12,False,2020-01-19
12,False,2020-01-26
21,False,2020-02-02
18,False,2020-02-09
15,False,2020-02-16
30,False,2020-02-23
10,False,2020-03-01
16,False,2020-03-08
10,False,2020-03-15
11,False,2020-03-22
13,False,2020-03-29
16,False,2020-04-05
12,False,2020-04-12
12,False,2020-04-19
12,False,2020-04-26
9,False,2020-05-03
10,False,2020-05-10
8,False,2020-05-17
15,False,2020-05-24
9,False,2020-05-31
6,False,2020-06-07
10,False,2020-06-14
14,False,2020-06-21
13,False,2020-06-28
8,False,2020-07-05
16,False,2020-07-12
16,False,2020-07-19
20,False,2020-07-26
18,False,2020-08-02
18,False,2020-08-09
20,False,2020-08-16
25,False,2020-08-23
28,True,2020-08-30
