suicide prevention text,isPartial,date
50,False,2019-01-06
55,False,2019-01-13
61,False,2019-01-20
54,False,2019-01-27
24,False,2019-02-03
60,False,2019-02-10
97,False,2019-02-17
59,False,2019-02-24
36,False,2019-03-03
86,False,2019-03-10
44,False,2019-03-17
100,False,2019-03-24
37,False,2019-03-31
74,False,2019-04-07
38,False,2019-04-14
58,False,2019-04-21
56,False,2019-04-28
50,False,2019-05-05
38,False,2019-05-12
39,False,2019-05-19
52,False,2019-05-26
57,False,2019-06-02
32,False,2019-06-09
67,False,2019-06-16
20,False,2019-06-23
60,False,2019-06-30
48,False,2019-07-07
48,False,2019-07-14
60,False,2019-07-21
20,False,2019-07-28
39,False,2019-08-04
19,False,2019-08-11
37,False,2019-08-18
48,False,2019-08-25
41,False,2019-09-01
41,False,2019-09-08
40,False,2019-09-15
53,False,2019-09-22
41,False,2019-09-29
47,False,2019-10-06
17,False,2019-10-13
34,False,2019-10-20
29,False,2019-10-27
40,False,2019-11-03
34,False,2019-11-10
26,False,2019-11-17
24,False,2019-11-24
17,False,2019-12-01
40,False,2019-12-08
41,False,2019-12-15
59,False,2019-12-22
48,False,2019-12-29
45,False,2020-01-05
73,False,2020-01-12
34,False,2020-01-19
66,False,2020-01-26
38,False,2020-02-02
27,False,2020-02-09
33,False,2020-02-16
32,False,2020-02-23
48,False,2020-03-01
37,False,2020-03-08
46,False,2020-03-15
65,False,2020-03-22
39,False,2020-03-29
25,False,2020-04-05
24,False,2020-04-12
43,False,2020-04-19
44,False,2020-04-26
53,False,2020-05-03
15,False,2020-05-10
30,False,2020-05-17
23,False,2020-05-24
30,False,2020-05-31
38,False,2020-06-07
47,False,2020-06-14
40,False,2020-06-21
27,False,2020-06-28
27,False,2020-07-05
25,False,2020-07-12
22,False,2020-07-19
33,False,2020-07-26
33,False,2020-08-02
33,False,2020-08-09
43,False,2020-08-16
36,False,2020-08-23
31,False,2020-08-30
