suicide text line + suicide text + suicide text hotline,isPartial,date
51,False,2019-01-06
50,False,2019-01-13
51,False,2019-01-20
50,False,2019-01-27
98,False,2019-02-03
49,False,2019-02-10
98,False,2019-02-17
0,False,2019-02-24
52,False,2019-03-03
51,False,2019-03-10
52,False,2019-03-17
68,False,2019-03-24
52,False,2019-03-31
53,False,2019-04-07
53,False,2019-04-14
79,False,2019-04-21
79,False,2019-04-28
53,False,2019-05-05
0,False,2019-05-12
0,False,2019-05-19
85,False,2019-05-26
55,False,2019-06-02
0,False,2019-06-09
56,False,2019-06-16
0,False,2019-06-23
0,False,2019-06-30
56,False,2019-07-07
0,False,2019-07-14
56,False,2019-07-21
55,False,2019-07-28
53,False,2019-08-04
0,False,2019-08-11
51,False,2019-08-18
100,False,2019-08-25
49,False,2019-09-01
0,False,2019-09-08
49,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
48,False,2019-10-20
0,False,2019-10-27
47,False,2019-11-03
0,False,2019-11-10
71,False,2019-11-17
48,False,2019-11-24
0,False,2019-12-01
49,False,2019-12-08
50,False,2019-12-15
0,False,2019-12-22
50,False,2019-12-29
47,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
44,False,2020-02-02
45,False,2020-02-09
45,False,2020-02-16
0,False,2020-02-23
43,False,2020-03-01
0,False,2020-03-08
43,False,2020-03-15
41,False,2020-03-22
40,False,2020-03-29
0,False,2020-04-05
40,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
0,False,2020-05-10
0,False,2020-05-17
42,False,2020-05-24
0,False,2020-05-31
42,False,2020-06-07
42,False,2020-06-14
43,False,2020-06-21
44,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
43,False,2020-08-02
0,False,2020-08-09
41,False,2020-08-16
0,False,2020-08-23
42,False,2020-08-30
