suicide prevention + suicide postvention,isPartial,date
20,False,2019-01-06
16,False,2019-01-13
8,False,2019-01-20
12,False,2019-01-27
23,False,2019-02-03
15,False,2019-02-10
33,False,2019-02-17
37,False,2019-02-24
19,False,2019-03-03
28,False,2019-03-10
8,False,2019-03-17
32,False,2019-03-24
25,False,2019-03-31
17,False,2019-04-07
8,False,2019-04-14
25,False,2019-04-21
20,False,2019-04-28
16,False,2019-05-05
8,False,2019-05-12
21,False,2019-05-19
16,False,2019-05-26
8,False,2019-06-02
16,False,2019-06-09
0,False,2019-06-16
17,False,2019-06-23
13,False,2019-06-30
8,False,2019-07-07
8,False,2019-07-14
17,False,2019-07-21
13,False,2019-07-28
9,False,2019-08-04
0,False,2019-08-11
21,False,2019-08-18
20,False,2019-08-25
23,False,2019-09-01
100,False,2019-09-08
31,False,2019-09-15
19,False,2019-09-22
15,False,2019-09-29
19,False,2019-10-06
12,False,2019-10-13
23,False,2019-10-20
15,False,2019-10-27
7,False,2019-11-03
22,False,2019-11-10
11,False,2019-11-17
15,False,2019-11-24
7,False,2019-12-01
18,False,2019-12-08
7,False,2019-12-15
17,False,2019-12-22
11,False,2019-12-29
14,False,2020-01-05
11,False,2020-01-12
18,False,2020-01-19
7,False,2020-01-26
24,False,2020-02-02
24,False,2020-02-09
24,False,2020-02-16
33,False,2020-02-23
13,False,2020-03-01
23,False,2020-03-08
13,False,2020-03-15
10,False,2020-03-22
19,False,2020-03-29
16,False,2020-04-05
12,False,2020-04-12
12,False,2020-04-19
9,False,2020-04-26
18,False,2020-05-03
9,False,2020-05-10
12,False,2020-05-17
9,False,2020-05-24
15,False,2020-05-31
6,False,2020-06-07
6,False,2020-06-14
13,False,2020-06-21
7,False,2020-06-28
13,False,2020-07-05
0,False,2020-07-12
13,False,2020-07-19
21,False,2020-07-26
7,False,2020-08-02
21,False,2020-08-09
7,False,2020-08-16
17,False,2020-08-23
33,False,2020-08-30
