suicide prevention + suicide postvention,isPartial,date
9,False,2019-01-06
9,False,2019-01-13
19,False,2019-01-20
19,False,2019-01-27
9,False,2019-02-03
24,False,2019-02-10
21,False,2019-02-17
33,False,2019-02-24
22,False,2019-03-03
19,False,2019-03-10
16,False,2019-03-17
14,False,2019-03-24
16,False,2019-03-31
16,False,2019-04-07
19,False,2019-04-14
19,False,2019-04-21
23,False,2019-04-28
13,False,2019-05-05
20,False,2019-05-12
17,False,2019-05-19
14,False,2019-05-26
20,False,2019-06-02
10,False,2019-06-09
24,False,2019-06-16
35,False,2019-06-23
10,False,2019-06-30
14,False,2019-07-07
10,False,2019-07-14
17,False,2019-07-21
13,False,2019-07-28
25,False,2019-08-04
19,False,2019-08-11
19,False,2019-08-18
18,False,2019-08-25
33,False,2019-09-01
100,False,2019-09-08
39,False,2019-09-15
18,False,2019-09-22
45,False,2019-09-29
22,False,2019-10-06
23,False,2019-10-13
15,False,2019-10-20
27,False,2019-10-27
20,False,2019-11-03
9,False,2019-11-10
17,False,2019-11-17
18,False,2019-11-24
22,False,2019-12-01
9,False,2019-12-08
14,False,2019-12-15
14,False,2019-12-22
9,False,2019-12-29
17,False,2020-01-05
24,False,2020-01-12
13,False,2020-01-19
25,False,2020-01-26
25,False,2020-02-02
11,False,2020-02-09
12,False,2020-02-16
8,False,2020-02-23
16,False,2020-03-01
12,False,2020-03-08
8,False,2020-03-15
8,False,2020-03-22
7,False,2020-03-29
22,False,2020-04-05
17,False,2020-04-12
11,False,2020-04-19
22,False,2020-04-26
7,False,2020-05-03
15,False,2020-05-10
19,False,2020-05-17
21,False,2020-05-24
11,False,2020-05-31
8,False,2020-06-07
15,False,2020-06-14
8,False,2020-06-21
14,False,2020-06-28
30,False,2020-07-05
25,False,2020-07-12
19,False,2020-07-19
29,False,2020-07-26
27,False,2020-08-02
0,False,2020-08-09
23,False,2020-08-16
8,False,2020-08-23
61,False,2020-08-30
