suicide safety assessment,isPartial,date
63,False,2015-09-20
0,False,2015-09-27
0,False,2015-10-04
0,False,2015-10-11
0,False,2015-10-18
60,False,2015-10-25
0,False,2015-11-01
61,False,2015-11-08
0,False,2015-11-15
0,False,2015-11-22
0,False,2015-11-29
0,False,2015-12-06
0,False,2015-12-13
0,False,2015-12-20
66,False,2015-12-27
0,False,2016-01-03
0,False,2016-01-10
0,False,2016-01-17
0,False,2016-01-24
49,False,2016-01-31
0,False,2016-02-07
0,False,2016-02-14
50,False,2016-02-21
0,False,2016-02-28
0,False,2016-03-06
0,False,2016-03-13
0,False,2016-03-20
0,False,2016-03-27
0,False,2016-04-03
0,False,2016-04-10
0,False,2016-04-17
0,False,2016-04-24
0,False,2016-05-01
0,False,2016-05-08
0,False,2016-05-15
0,False,2016-05-22
0,False,2016-05-29
0,False,2016-06-05
0,False,2016-06-12
0,False,2016-06-19
0,False,2016-06-26
0,False,2016-07-03
0,False,2016-07-10
0,False,2016-07-17
53,False,2016-07-24
0,False,2016-07-31
0,False,2016-08-07
0,False,2016-08-14
0,False,2016-08-21
0,False,2016-08-28
0,False,2016-09-04
51,False,2016-09-11
0,False,2016-09-18
76,False,2016-09-25
0,False,2016-10-02
52,False,2016-10-09
0,False,2016-10-16
0,False,2016-10-23
0,False,2016-10-30
0,False,2016-11-06
0,False,2016-11-13
0,False,2016-11-20
0,False,2016-11-27
45,False,2016-12-04
46,False,2016-12-11
0,False,2016-12-18
52,False,2016-12-25
98,False,2017-01-01
0,False,2017-01-08
46,False,2017-01-15
46,False,2017-01-22
45,False,2017-01-29
0,False,2017-02-05
45,False,2017-02-12
0,False,2017-02-19
0,False,2017-02-26
43,False,2017-03-05
0,False,2017-03-12
0,False,2017-03-19
0,False,2017-03-26
0,False,2017-04-02
46,False,2017-04-09
0,False,2017-04-16
0,False,2017-04-23
0,False,2017-04-30
0,False,2017-05-07
0,False,2017-05-14
100,False,2017-05-21
51,False,2017-05-28
0,False,2017-06-04
50,False,2017-06-11
0,False,2017-06-18
0,False,2017-06-25
0,False,2017-07-02
0,False,2017-07-09
0,False,2017-07-16
0,False,2017-07-23
0,False,2017-07-30
0,False,2017-08-06
0,False,2017-08-13
48,False,2017-08-20
47,False,2017-08-27
0,False,2017-09-03
0,False,2017-09-10
45,False,2017-09-17
47,False,2017-09-24
46,False,2017-10-01
0,False,2017-10-08
46,False,2017-10-15
0,False,2017-10-22
0,False,2017-10-29
0,False,2017-11-05
0,False,2017-11-12
0,False,2017-11-19
44,False,2017-11-26
44,False,2017-12-03
45,False,2017-12-10
0,False,2017-12-17
0,False,2017-12-24
0,False,2017-12-31
45,False,2018-01-07
45,False,2018-01-14
0,False,2018-01-21
44,False,2018-01-28
65,False,2018-02-04
44,False,2018-02-11
44,False,2018-02-18
43,False,2018-02-25
44,False,2018-03-04
0,False,2018-03-11
0,False,2018-03-18
45,False,2018-03-25
0,False,2018-04-01
0,False,2018-04-08
0,False,2018-04-15
0,False,2018-04-22
0,False,2018-04-29
0,False,2018-05-06
46,False,2018-05-13
47,False,2018-05-20
0,False,2018-05-27
46,False,2018-06-03
45,False,2018-06-10
0,False,2018-06-17
0,False,2018-06-24
0,False,2018-07-01
47,False,2018-07-08
0,False,2018-07-15
0,False,2018-07-22
46,False,2018-07-29
47,False,2018-08-05
0,False,2018-08-12
47,False,2018-08-19
0,False,2018-08-26
0,False,2018-09-02
0,False,2018-09-09
45,False,2018-09-16
45,False,2018-09-23
45,False,2018-09-30
0,False,2018-10-07
46,False,2018-10-14
0,False,2018-10-21
0,False,2018-10-28
0,False,2018-11-04
0,False,2018-11-11
0,False,2018-11-18
43,False,2018-11-25
0,False,2018-12-02
45,False,2018-12-09
0,False,2018-12-16
0,False,2018-12-23
0,False,2018-12-30
0,False,2019-01-06
0,False,2019-01-13
0,False,2019-01-20
0,False,2019-01-27
64,False,2019-02-03
0,False,2019-02-10
43,False,2019-02-17
0,False,2019-02-24
43,False,2019-03-03
0,False,2019-03-10
45,False,2019-03-17
44,False,2019-03-24
0,False,2019-03-31
44,False,2019-04-07
0,False,2019-04-14
46,False,2019-04-21
44,False,2019-04-28
44,False,2019-05-05
45,False,2019-05-12
0,False,2019-05-19
70,False,2019-05-26
0,False,2019-06-02
0,False,2019-06-09
0,False,2019-06-16
0,False,2019-06-23
47,False,2019-06-30
0,False,2019-07-07
0,False,2019-07-14
0,False,2019-07-21
0,False,2019-07-28
0,False,2019-08-04
45,False,2019-08-11
0,False,2019-08-18
43,False,2019-08-25
0,False,2019-09-01
41,False,2019-09-08
41,False,2019-09-15
42,False,2019-09-22
83,False,2019-09-29
42,False,2019-10-06
41,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
41,False,2019-11-03
40,False,2019-11-10
41,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
41,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
82,False,2020-01-05
39,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
39,False,2020-02-02
0,False,2020-02-09
0,False,2020-02-16
38,False,2020-02-23
38,False,2020-03-01
38,False,2020-03-08
0,False,2020-03-15
37,False,2020-03-22
35,False,2020-03-29
36,False,2020-04-05
35,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
35,False,2020-05-03
36,False,2020-05-10
36,False,2020-05-17
37,False,2020-05-24
36,False,2020-05-31
0,False,2020-06-07
38,False,2020-06-14
38,False,2020-06-21
39,False,2020-06-28
39,False,2020-07-05
39,False,2020-07-12
39,False,2020-07-19
40,False,2020-07-26
0,False,2020-08-02
39,False,2020-08-09
39,False,2020-08-16
0,False,2020-08-23
74,False,2020-08-30
0,False,2020-09-06
0,True,2020-09-13
