suicide text line + suicide text + suicide text hotline,isPartial,date
0,False,2019-01-06
0,False,2019-01-13
0,False,2019-01-20
0,False,2019-01-27
0,False,2019-02-03
0,False,2019-02-10
0,False,2019-02-17
0,False,2019-02-24
0,False,2019-03-03
45,False,2019-03-10
0,False,2019-03-17
0,False,2019-03-24
0,False,2019-03-31
46,False,2019-04-07
0,False,2019-04-14
0,False,2019-04-21
0,False,2019-04-28
0,False,2019-05-05
46,False,2019-05-12
47,False,2019-05-19
0,False,2019-05-26
0,False,2019-06-02
0,False,2019-06-09
46,False,2019-06-16
0,False,2019-06-23
0,False,2019-06-30
0,False,2019-07-07
0,False,2019-07-14
47,False,2019-07-21
47,False,2019-07-28
0,False,2019-08-04
46,False,2019-08-11
0,False,2019-08-18
0,False,2019-08-25
0,False,2019-09-01
43,False,2019-09-08
43,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
42,False,2019-10-20
41,False,2019-10-27
42,False,2019-11-03
82,False,2019-11-10
83,False,2019-11-17
0,False,2019-11-24
40,False,2019-12-01
41,False,2019-12-08
41,False,2019-12-15
0,False,2019-12-22
43,False,2019-12-29
40,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
40,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
0,False,2020-02-16
73,False,2020-02-23
38,False,2020-03-01
55,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
35,False,2020-03-29
69,False,2020-04-05
34,False,2020-04-12
0,False,2020-04-19
100,False,2020-04-26
33,False,2020-05-03
52,False,2020-05-10
34,False,2020-05-17
35,False,2020-05-24
34,False,2020-05-31
0,False,2020-06-07
36,False,2020-06-14
0,False,2020-06-21
38,False,2020-06-28
0,False,2020-07-05
38,False,2020-07-12
37,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
39,False,2020-08-09
0,False,2020-08-16
0,False,2020-08-23
0,False,2020-08-30
