suicide help + suicide help near me,isPartial,date
69,False,2019-01-06
0,False,2019-01-13
69,False,2019-01-20
0,False,2019-01-27
67,False,2019-02-03
0,False,2019-02-10
0,False,2019-02-17
64,False,2019-02-24
0,False,2019-03-03
0,False,2019-03-10
71,False,2019-03-17
70,False,2019-03-24
0,False,2019-03-31
0,False,2019-04-07
0,False,2019-04-14
73,False,2019-04-21
71,False,2019-04-28
0,False,2019-05-05
0,False,2019-05-12
72,False,2019-05-19
72,False,2019-05-26
0,False,2019-06-02
0,False,2019-06-09
0,False,2019-06-16
73,False,2019-06-23
74,False,2019-06-30
71,False,2019-07-07
0,False,2019-07-14
0,False,2019-07-21
0,False,2019-07-28
0,False,2019-08-04
0,False,2019-08-11
73,False,2019-08-18
0,False,2019-08-25
0,False,2019-09-01
66,False,2019-09-08
100,False,2019-09-15
67,False,2019-09-22
67,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
64,False,2019-11-10
0,False,2019-11-17
66,False,2019-11-24
0,False,2019-12-01
63,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
62,False,2020-01-05
61,False,2020-01-12
0,False,2020-01-19
62,False,2020-01-26
0,False,2020-02-02
60,False,2020-02-09
60,False,2020-02-16
0,False,2020-02-23
58,False,2020-03-01
57,False,2020-03-08
0,False,2020-03-15
55,False,2020-03-22
54,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
51,False,2020-04-19
52,False,2020-04-26
52,False,2020-05-03
53,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
55,False,2020-06-14
57,False,2020-06-21
0,False,2020-06-28
87,False,2020-07-05
59,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
90,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
60,False,2020-08-23
57,False,2020-08-30
