suicide club + suicide group,isPartial,date
38,False,2019-01-06
41,False,2019-01-13
53,False,2019-01-20
52,False,2019-01-27
54,False,2019-02-03
47,False,2019-02-10
52,False,2019-02-17
59,False,2019-02-24
100,False,2019-03-03
50,False,2019-03-10
44,False,2019-03-17
64,False,2019-03-24
58,False,2019-03-31
59,False,2019-04-07
51,False,2019-04-14
53,False,2019-04-21
69,False,2019-04-28
67,False,2019-05-05
44,False,2019-05-12
42,False,2019-05-19
29,False,2019-05-26
49,False,2019-06-02
36,False,2019-06-09
69,False,2019-06-16
36,False,2019-06-23
42,False,2019-06-30
30,False,2019-07-07
39,False,2019-07-14
41,False,2019-07-21
37,False,2019-07-28
55,False,2019-08-04
60,False,2019-08-11
29,False,2019-08-18
50,False,2019-08-25
52,False,2019-09-01
67,False,2019-09-08
52,False,2019-09-15
67,False,2019-09-22
65,False,2019-09-29
67,False,2019-10-06
43,False,2019-10-13
62,False,2019-10-20
70,False,2019-10-27
51,False,2019-11-03
50,False,2019-11-10
43,False,2019-11-17
51,False,2019-11-24
48,False,2019-12-01
49,False,2019-12-08
44,False,2019-12-15
37,False,2019-12-22
43,False,2019-12-29
50,False,2020-01-05
49,False,2020-01-12
37,False,2020-01-19
52,False,2020-01-26
43,False,2020-02-02
57,False,2020-02-09
60,False,2020-02-16
57,False,2020-02-23
43,False,2020-03-01
45,False,2020-03-08
35,False,2020-03-15
35,False,2020-03-22
45,False,2020-03-29
47,False,2020-04-05
53,False,2020-04-12
48,False,2020-04-19
52,False,2020-04-26
49,False,2020-05-03
51,False,2020-05-10
42,False,2020-05-17
28,False,2020-05-24
37,False,2020-05-31
44,False,2020-06-07
45,False,2020-06-14
41,False,2020-06-21
40,False,2020-06-28
47,False,2020-07-05
43,False,2020-07-12
35,False,2020-07-19
56,False,2020-07-26
35,False,2020-08-02
36,False,2020-08-09
35,False,2020-08-16
65,False,2020-08-23
58,False,2020-08-30
