suicide resources + suicide help resources,isPartial,date
31,False,2019-01-06
25,False,2019-01-13
15,False,2019-01-20
30,False,2019-01-27
44,False,2019-02-03
25,False,2019-02-10
50,False,2019-02-17
65,False,2019-02-24
20,False,2019-03-03
26,False,2019-03-10
36,False,2019-03-17
70,False,2019-03-24
36,False,2019-03-31
57,False,2019-04-07
58,False,2019-04-14
69,False,2019-04-21
100,False,2019-04-28
31,False,2019-05-05
48,False,2019-05-12
48,False,2019-05-19
27,False,2019-05-26
31,False,2019-06-02
37,False,2019-06-09
24,False,2019-06-16
41,False,2019-06-23
33,False,2019-06-30
32,False,2019-07-07
40,False,2019-07-14
16,False,2019-07-21
24,False,2019-07-28
38,False,2019-08-04
24,False,2019-08-11
57,False,2019-08-18
23,False,2019-08-25
49,False,2019-09-01
77,False,2019-09-08
43,False,2019-09-15
88,False,2019-09-22
53,False,2019-09-29
69,False,2019-10-06
29,False,2019-10-13
43,False,2019-10-20
77,False,2019-10-27
58,False,2019-11-03
14,False,2019-11-10
43,False,2019-11-17
20,False,2019-11-24
60,False,2019-12-01
33,False,2019-12-08
44,False,2019-12-15
33,False,2019-12-22
30,False,2019-12-29
28,False,2020-01-05
40,False,2020-01-12
33,False,2020-01-19
27,False,2020-01-26
14,False,2020-02-02
23,False,2020-02-09
27,False,2020-02-16
70,False,2020-02-23
57,False,2020-03-01
48,False,2020-03-08
26,False,2020-03-15
34,False,2020-03-22
33,False,2020-03-29
34,False,2020-04-05
53,False,2020-04-12
44,False,2020-04-19
44,False,2020-04-26
36,False,2020-05-03
33,False,2020-05-10
37,False,2020-05-17
39,False,2020-05-24
66,False,2020-05-31
64,False,2020-06-07
44,False,2020-06-14
40,False,2020-06-21
41,False,2020-06-28
41,False,2020-07-05
36,False,2020-07-12
51,False,2020-07-19
46,False,2020-07-26
46,False,2020-08-02
36,False,2020-08-09
60,False,2020-08-16
48,False,2020-08-23
94,False,2020-08-30
