suicide prevention,isPartial,date
100,False,2019-09-08
17,False,2019-09-15
33,False,2019-09-22
25,False,2019-09-29
26,False,2019-10-06
23,False,2019-10-13
17,False,2019-10-20
28,False,2019-10-27
50,False,2019-11-03
25,False,2019-11-10
33,False,2019-11-17
0,False,2019-11-24
16,False,2019-12-01
17,False,2019-12-08
17,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
17,False,2020-01-05
31,False,2020-01-12
16,False,2020-01-19
0,False,2020-01-26
16,False,2020-02-02
16,False,2020-02-09
21,False,2020-02-16
15,False,2020-02-23
31,False,2020-03-01
31,False,2020-03-08
16,False,2020-03-15
15,False,2020-03-22
14,False,2020-03-29
15,False,2020-04-05
14,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
28,False,2020-05-03
43,False,2020-05-10
15,False,2020-05-17
15,False,2020-05-24
15,False,2020-05-31
23,False,2020-06-07
16,False,2020-06-14
0,False,2020-06-21
17,False,2020-06-28
16,False,2020-07-05
16,False,2020-07-12
17,False,2020-07-19
17,False,2020-07-26
17,False,2020-08-02
17,False,2020-08-09
22,False,2020-08-16
32,False,2020-08-23
0,True,2020-08-30
