suicide postvention,isPartial,date
32,False,2019-01-06
0,False,2019-01-13
0,False,2019-01-20
0,False,2019-01-27
30,False,2019-02-03
0,False,2019-02-10
0,False,2019-02-17
30,False,2019-02-24
31,False,2019-03-03
0,False,2019-03-10
32,False,2019-03-17
0,False,2019-03-24
32,False,2019-03-31
31,False,2019-04-07
32,False,2019-04-14
33,False,2019-04-21
31,False,2019-04-28
32,False,2019-05-05
49,False,2019-05-12
33,False,2019-05-19
33,False,2019-05-26
0,False,2019-06-02
0,False,2019-06-09
32,False,2019-06-16
100,False,2019-06-23
0,False,2019-06-30
32,False,2019-07-07
33,False,2019-07-14
34,False,2019-07-21
50,False,2019-07-28
66,False,2019-08-04
53,False,2019-08-11
53,False,2019-08-18
61,False,2019-08-25
89,False,2019-09-01
29,False,2019-09-08
44,False,2019-09-15
0,False,2019-09-22
45,False,2019-09-29
30,False,2019-10-06
59,False,2019-10-13
0,False,2019-10-20
44,False,2019-10-27
73,False,2019-11-03
29,False,2019-11-10
29,False,2019-11-17
0,False,2019-11-24
57,False,2019-12-01
29,False,2019-12-08
45,False,2019-12-15
33,False,2019-12-22
31,False,2019-12-29
29,False,2020-01-05
0,False,2020-01-12
29,False,2020-01-19
42,False,2020-01-26
28,False,2020-02-02
0,False,2020-02-09
28,False,2020-02-16
27,False,2020-02-23
54,False,2020-03-01
27,False,2020-03-08
26,False,2020-03-15
51,False,2020-03-22
25,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
24,False,2020-04-19
25,False,2020-04-26
0,False,2020-05-03
25,False,2020-05-10
25,False,2020-05-17
26,False,2020-05-24
25,False,2020-05-31
26,False,2020-06-07
27,False,2020-06-14
54,False,2020-06-21
83,False,2020-06-28
27,False,2020-07-05
0,False,2020-07-12
28,False,2020-07-19
28,False,2020-07-26
65,False,2020-08-02
74,False,2020-08-09
45,False,2020-08-16
53,False,2020-08-23
79,False,2020-08-30
