suicide hotline number,isPartial,date
89,False,2019-09-08
0,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
48,False,2019-10-06
47,False,2019-10-13
46,False,2019-10-20
48,False,2019-10-27
46,False,2019-11-03
44,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
44,False,2019-12-01
0,False,2019-12-08
46,False,2019-12-15
100,False,2019-12-22
47,False,2019-12-29
0,False,2020-01-05
41,False,2020-01-12
44,False,2020-01-19
0,False,2020-01-26
43,False,2020-02-02
43,False,2020-02-09
0,False,2020-02-16
42,False,2020-02-23
0,False,2020-03-01
40,False,2020-03-08
41,False,2020-03-15
40,False,2020-03-22
39,False,2020-03-29
40,False,2020-04-05
39,False,2020-04-12
37,False,2020-04-19
0,False,2020-04-26
38,False,2020-05-03
39,False,2020-05-10
38,False,2020-05-17
39,False,2020-05-24
55,False,2020-05-31
37,False,2020-06-07
0,False,2020-06-14
0,False,2020-06-21
42,False,2020-06-28
42,False,2020-07-05
44,False,2020-07-12
44,False,2020-07-19
43,False,2020-07-26
42,False,2020-08-02
43,False,2020-08-09
42,False,2020-08-16
86,False,2020-08-23
0,True,2020-08-30
