suicide text,isPartial,date
62,False,2018-06-24
42,False,2018-07-01
40,False,2018-07-08
41,False,2018-07-15
40,False,2018-07-22
0,False,2018-07-29
40,False,2018-08-05
0,False,2018-08-12
39,False,2018-08-19
39,False,2018-08-26
58,False,2018-09-02
38,False,2018-09-09
38,False,2018-09-16
38,False,2018-09-23
0,False,2018-09-30
41,False,2018-10-07
39,False,2018-10-14
78,False,2018-10-21
40,False,2018-10-28
36,False,2018-11-04
39,False,2018-11-11
0,False,2018-11-18
38,False,2018-11-25
0,False,2018-12-02
40,False,2018-12-09
0,False,2018-12-16
0,False,2018-12-23
81,False,2018-12-30
0,False,2019-01-06
0,False,2019-01-13
0,False,2019-01-20
36,False,2019-01-27
35,False,2019-02-03
54,False,2019-02-10
35,False,2019-02-17
35,False,2019-02-24
37,False,2019-03-03
37,False,2019-03-10
0,False,2019-03-17
37,False,2019-03-24
37,False,2019-03-31
0,False,2019-04-07
38,False,2019-04-14
57,False,2019-04-21
38,False,2019-04-28
39,False,2019-05-05
39,False,2019-05-12
0,False,2019-05-19
0,False,2019-05-26
40,False,2019-06-02
0,False,2019-06-09
0,False,2019-06-16
0,False,2019-06-23
41,False,2019-06-30
40,False,2019-07-07
0,False,2019-07-14
0,False,2019-07-21
40,False,2019-07-28
38,False,2019-08-04
0,False,2019-08-11
0,False,2019-08-18
36,False,2019-08-25
36,False,2019-09-01
0,False,2019-09-08
35,False,2019-09-15
0,False,2019-09-22
36,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
35,False,2019-11-03
34,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
35,False,2019-12-08
35,False,2019-12-15
38,False,2019-12-22
36,False,2019-12-29
0,False,2020-01-05
32,False,2020-01-12
0,False,2020-01-19
32,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
0,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
30,False,2020-03-15
0,False,2020-03-22
29,False,2020-03-29
0,False,2020-04-05
29,False,2020-04-12
29,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
0,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
60,False,2020-06-07
30,False,2020-06-14
31,False,2020-06-21
32,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
33,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
61,False,2020-08-09
0,False,2020-08-16
30,False,2020-08-23
30,False,2020-08-30
0,False,2020-09-06
0,True,2020-09-13
