suicide assessment + suicide risk assessment,isPartial,date
48,False,2019-01-06
55,False,2019-01-13
41,False,2019-01-20
52,False,2019-01-27
74,False,2019-02-03
78,False,2019-02-10
87,False,2019-02-17
66,False,2019-02-24
73,False,2019-03-03
71,False,2019-03-10
63,False,2019-03-17
63,False,2019-03-24
78,False,2019-03-31
72,False,2019-04-07
58,False,2019-04-14
55,False,2019-04-21
74,False,2019-04-28
42,False,2019-05-05
58,False,2019-05-12
46,False,2019-05-19
47,False,2019-05-26
75,False,2019-06-02
52,False,2019-06-09
37,False,2019-06-16
56,False,2019-06-23
51,False,2019-06-30
40,False,2019-07-07
61,False,2019-07-14
41,False,2019-07-21
47,False,2019-07-28
56,False,2019-08-04
67,False,2019-08-11
42,False,2019-08-18
73,False,2019-08-25
48,False,2019-09-01
100,False,2019-09-08
85,False,2019-09-15
79,False,2019-09-22
93,False,2019-09-29
90,False,2019-10-06
76,False,2019-10-13
77,False,2019-10-20
75,False,2019-10-27
61,False,2019-11-03
49,False,2019-11-10
85,False,2019-11-17
43,False,2019-11-24
64,False,2019-12-01
63,False,2019-12-08
34,False,2019-12-15
16,False,2019-12-22
44,False,2019-12-29
30,False,2020-01-05
44,False,2020-01-12
54,False,2020-01-19
37,False,2020-01-26
73,False,2020-02-02
71,False,2020-02-09
57,False,2020-02-16
86,False,2020-02-23
76,False,2020-03-01
66,False,2020-03-08
52,False,2020-03-15
51,False,2020-03-22
55,False,2020-03-29
44,False,2020-04-05
63,False,2020-04-12
39,False,2020-04-19
39,False,2020-04-26
56,False,2020-05-03
36,False,2020-05-10
46,False,2020-05-17
47,False,2020-05-24
48,False,2020-05-31
44,False,2020-06-07
35,False,2020-06-14
54,False,2020-06-21
37,False,2020-06-28
57,False,2020-07-05
63,False,2020-07-12
85,False,2020-07-19
66,False,2020-07-26
42,False,2020-08-02
57,False,2020-08-09
64,False,2020-08-16
57,False,2020-08-23
99,False,2020-08-30
