suicide hotline,isPartial,date
57,False,2019-01-06
65,False,2019-01-13
65,False,2019-01-20
65,False,2019-01-27
68,False,2019-02-03
69,False,2019-02-10
69,False,2019-02-17
73,False,2019-02-24
68,False,2019-03-03
59,False,2019-03-10
59,False,2019-03-17
80,False,2019-03-24
68,False,2019-03-31
68,False,2019-04-07
58,False,2019-04-14
64,False,2019-04-21
75,False,2019-04-28
76,False,2019-05-05
66,False,2019-05-12
77,False,2019-05-19
69,False,2019-05-26
69,False,2019-06-02
69,False,2019-06-09
64,False,2019-06-16
66,False,2019-06-23
63,False,2019-06-30
66,False,2019-07-07
55,False,2019-07-14
59,False,2019-07-21
61,False,2019-07-28
61,False,2019-08-04
65,False,2019-08-11
70,False,2019-08-18
71,False,2019-08-25
69,False,2019-09-01
99,False,2019-09-08
73,False,2019-09-15
73,False,2019-09-22
76,False,2019-09-29
74,False,2019-10-06
67,False,2019-10-13
63,False,2019-10-20
74,False,2019-10-27
73,False,2019-11-03
65,False,2019-11-10
73,False,2019-11-17
63,False,2019-11-24
68,False,2019-12-01
72,False,2019-12-08
79,False,2019-12-15
77,False,2019-12-22
78,False,2019-12-29
65,False,2020-01-05
71,False,2020-01-12
74,False,2020-01-19
72,False,2020-01-26
75,False,2020-02-02
72,False,2020-02-09
70,False,2020-02-16
75,False,2020-02-23
68,False,2020-03-01
69,False,2020-03-08
61,False,2020-03-15
65,False,2020-03-22
66,False,2020-03-29
57,False,2020-04-05
63,False,2020-04-12
64,False,2020-04-19
74,False,2020-04-26
63,False,2020-05-03
75,False,2020-05-10
71,False,2020-05-17
65,False,2020-05-24
66,False,2020-05-31
67,False,2020-06-07
78,False,2020-06-14
80,False,2020-06-21
80,False,2020-06-28
77,False,2020-07-05
74,False,2020-07-12
84,False,2020-07-19
72,False,2020-07-26
68,False,2020-08-02
69,False,2020-08-09
74,False,2020-08-16
72,False,2020-08-23
100,False,2020-08-30
