suicide survivor + suicide survivor tattoo + suicide survivor support group,isPartial,date
11,False,2019-01-06
11,False,2019-01-13
8,False,2019-01-20
5,False,2019-01-27
7,False,2019-02-03
10,False,2019-02-10
8,False,2019-02-17
8,False,2019-02-24
12,False,2019-03-03
7,False,2019-03-10
40,False,2019-03-17
100,False,2019-03-24
9,False,2019-03-31
11,False,2019-04-07
22,False,2019-04-14
10,False,2019-04-21
9,False,2019-04-28
13,False,2019-05-05
20,False,2019-05-12
21,False,2019-05-19
14,False,2019-05-26
19,False,2019-06-02
11,False,2019-06-09
13,False,2019-06-16
17,False,2019-06-23
8,False,2019-06-30
9,False,2019-07-07
11,False,2019-07-14
17,False,2019-07-21
9,False,2019-07-28
11,False,2019-08-04
12,False,2019-08-11
9,False,2019-08-18
14,False,2019-08-25
21,False,2019-09-01
21,False,2019-09-08
15,False,2019-09-15
10,False,2019-09-22
10,False,2019-09-29
17,False,2019-10-06
14,False,2019-10-13
18,False,2019-10-20
11,False,2019-10-27
12,False,2019-11-03
8,False,2019-11-10
18,False,2019-11-17
12,False,2019-11-24
8,False,2019-12-01
10,False,2019-12-08
9,False,2019-12-15
11,False,2019-12-22
11,False,2019-12-29
15,False,2020-01-05
10,False,2020-01-12
9,False,2020-01-19
12,False,2020-01-26
11,False,2020-02-02
6,False,2020-02-09
12,False,2020-02-16
8,False,2020-02-23
13,False,2020-03-01
8,False,2020-03-08
9,False,2020-03-15
8,False,2020-03-22
5,False,2020-03-29
10,False,2020-04-05
8,False,2020-04-12
11,False,2020-04-19
13,False,2020-04-26
11,False,2020-05-03
10,False,2020-05-10
7,False,2020-05-17
10,False,2020-05-24
6,False,2020-05-31
11,False,2020-06-07
4,False,2020-06-14
13,False,2020-06-21
12,False,2020-06-28
10,False,2020-07-05
12,False,2020-07-12
12,False,2020-07-19
11,False,2020-07-26
11,False,2020-08-02
12,False,2020-08-09
7,False,2020-08-16
13,False,2020-08-23
13,False,2020-08-30
