suicide assessment,isPartial,date
52,False,2019-09-08
0,False,2019-09-15
86,False,2019-09-22
54,False,2019-09-29
0,False,2019-10-06
54,False,2019-10-13
0,False,2019-10-20
55,False,2019-10-27
53,False,2019-11-03
51,False,2019-11-10
51,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
53,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
50,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
49,False,2020-02-02
50,False,2020-02-09
51,False,2020-02-16
48,False,2020-02-23
47,False,2020-03-01
0,False,2020-03-08
0,False,2020-03-15
45,False,2020-03-22
0,False,2020-03-29
46,False,2020-04-05
0,False,2020-04-12
43,False,2020-04-19
43,False,2020-04-26
0,False,2020-05-03
45,False,2020-05-10
45,False,2020-05-17
0,False,2020-05-24
42,False,2020-05-31
0,False,2020-06-07
45,False,2020-06-14
0,False,2020-06-21
0,False,2020-06-28
49,False,2020-07-05
0,False,2020-07-12
100,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
50,False,2020-08-09
0,False,2020-08-16
0,False,2020-08-23
0,True,2020-08-30
